id,mass
746,0
747,1
748,0
749,0
750,3
751,36
752,29
753,18
754,15
755,10
756,10
757,116
758,42
759,11
760,6
761,2
762,1
763,2
764,5
765,234
766,5
767,7
768,5
769,3
770,4
771,3
772,1
773,2
774,1
775,1
776,1
777,1
778,1
779,1
780,104
781,17
782,18
783,13
784,26
785,15
786,8
787,7
788,5
789,6
790,8
791,4
792,3
793,3
794,3
795,2
796,2
797,2
798,1
799,3
800,4
801,2
802,114
803,14
804,14
805,4
806,149
807,21
808,23
809,14
810,5
811,16
812,55
813,11
814,2
815,5
816,162
817,7
818,141
819,72
820,390
821,89
822,25
823,14
824,3
825,166
826,14
827,8
828,11
829,6
830,4
831,4
832,4
833,63
834,142
835,207
836,45
837,8
838,20
839,13
840,9
841,2
842,13
843,12
844,13
845,5
846,10
847,4
848,5
849,2
850,30
851,13
852,9
853,11
854,8
855,14
856,7
857,3
858,6
859,4
860,0
861,20
862,11
863,1574
864,713
865,3
866,3480
867,9
868,3
869,82
870,106
871,10
872,23
873,73
874,9
875,20
876,586
877,779
878,1371
879,131
880,56
881,26
882,19
883,61
884,15
885,23
886,17
887,12
888,8
889,8
890,12
891,12
892,11
893,11
894,9
895,7
896,3
897,6
898,2
899,28
900,17
901,2
902,1
903,15
904,10
905,223
906,1
907,16
908,3
909,9
910,5
911,4
912,7
913,3
914,3
915,469
916,38
917,37
918,110
919,40
920,8
921,10
922,7
923,5
924,13
925,46
926,5
927,7
928,5
929,15
930,69
931,9
932,6
933,190
934,92
935,1388
936,565
937,222
938,469
939,407
940,335
941,311
942,424
943,300
944,778
945,953
946,220
947,198
948,220
949,164
950,149
951,220
952,135
953,125
954,103
955,97
956,82
957,82
958,58
959,63
960,96
961,79
962,57
963,56
964,47
965,37
966,16
967,35
968,37
969,33
970,35
971,30
972,46
973,12
974,28
975,34
976,38
977,16
978,24
979,37
980,29
981,21
982,21
983,27
984,20
985,16
986,12
987,20
988,29
989,27
990,22
991,15
992,16
993,15
994,30
995,12
996,13
997,15
998,7
999,14
1000,14
1001,10
1002,7
1003,12
1004,2
1005,8
1006,13
1007,13
1008,13
1009,11
1010,7
1011,8
1012,14
1013,7
1014,8
1015,8
1016,10
1017,6
1018,8
1019,10
1020,13
1021,12
1022,10
1023,12
1024,12
1025,8
1026,8
1027,8
1028,8
1029,6
1030,8
1031,5
1032,6
1033,11
1034,8
1035,10
1036,8
1037,8
1038,10
1039,6
1040,9
1041,6
1042,8
1043,7
1044,8
1045,6
1046,8
1047,6
1048,5
1049,5
1050,6
1051,6
1052,20
1053,4
1054,9
1055,6
1056,6
1057,6
1058,7
1059,6
1060,7
1061,7
1062,6
1063,4
1064,7
1065,5
1066,4
1067,5
1068,4
1069,6
1070,6
1071,7
1072,5
1073,7
1074,6
1075,5
1076,5
1077,7
1078,4
1079,2
1080,4
1081,3
1082,2
1083,4
1084,2
1085,2
1086,2
1087,2
1088,2
1089,2
1090,2
1091,2
1092,3
1093,3
1094,2
1095,2
1096,2
1097,3
1098,4
1099,3
1100,2
1101,3
1102,4
1103,4
1104,3
1105,2
1106,5
1107,2
1108,4
1109,3
1110,3
1111,3
1112,5
1113,4
1114,3
1115,4
1116,2
1117,2
1118,2
1119,1
1120,1
1121,1
1122,4
1123,4
1124,3
1125,3
1126,3
1127,3
1128,2
1129,2
1130,3
1131,3
1132,2
1133,2
1134,2
1135,1
1136,2
1137,2
1138,50
1139,5480
1140,2170
1141,4
1142,51
1143,120
1144,368
1145,237
1146,88
1147,35
1148,6
1149,493
1150,58
1151,50
1152,40
1153,153
1154,1831
1155,206
1156,68
1157,22
1158,18
1159,19
1160,8
1161,466
1162,10
1163,499
1164,1715
1165,11
1166,4
1167,136
1168,7
1169,9
1170,7
1171,699
1172,508
1173,41
1174,3
1175,301
1176,96
1177,2
1178,11
1179,9
1180,22
1181,10
1182,136
1183,4
1184,12
1185,21
1186,12
1187,14
1188,10
1189,57
1190,11
1191,6
1192,6
1193,3
1194,31
1195,8
1196,122
1197,939
1198,469
1199,188
1200,178
1201,77
1202,46
1203,41
1204,44
1205,43
1206,26
1207,36
1208,27
1209,29
1210,22
1211,21
1212,26
1213,16
1214,22
1215,19
1216,12
1217,12
1218,16
1219,9
1220,11
1221,18
1222,12
1223,12
1224,13
1225,14
1226,11
1227,10
1228,9
1229,8
1230,10
1231,9
1232,10
1233,9
1234,9
1235,8
1236,6
1237,10
1238,7
1239,10
1240,9
1241,9
1242,10
1243,9
1244,10
1245,8
1246,7
1247,8
1248,6
1249,8
1250,8
1251,8
1252,5
1253,8
1254,6
1255,7
1256,6
1257,7
1258,6
1259,2
1260,4
1261,6
1262,5
1263,5
1264,7
1265,6
1266,5
1267,5
1268,5
1269,4
1270,4
1271,3
1272,5
1273,5
1274,7
1275,4
1276,5
1277,4
1278,5
1279,3
1280,5
1281,4
1282,5
1283,3
1284,4
1285,3
1286,4
1287,4
1288,3
1289,4
1290,4
1291,2
1292,3
1293,3
1294,2
1295,2
1296,4
1297,4
1298,3
1299,5
1300,4
1301,2
1302,3
1303,3
1304,2
1305,4
1306,3
1307,5
1308,2
1309,2
1310,2
1311,3
1312,1
1313,2
1314,3
1315,2
1316,3
1317,2
1318,2
1319,2
1320,2
1321,1
1322,2
1323,2
1324,2
1325,2
1326,2
1327,1
1328,2
1329,3
1330,2
1331,2
1332,1
1333,2
1334,1
1335,2
1336,2
1337,2
1338,2
1339,2
1340,1
1341,1
1342,1
1343,2
1344,1
1345,2
1346,1
1347,1
1348,1
1349,1
1350,1
1351,1
1352,1
1353,1
1354,1
1355,1
1356,1
1357,39
1358,4
1359,12
1360,2510
1361,344
1362,108
1363,33
1364,15
1365,3
1366,8
1367,5
1368,5
1369,
1370,8
1371,6180
1372,68
1373,578
1374,21
1375,19
1376,1
1377,40
1378,3340
1379,79
1380,2
1381,3
1382,24
1383,10
1384,6
1385,9
1386,16
1387,17
1388,10
1389,18
1390,9
1391,7
1392,3
1393,2
1394,96
1395,213
1396,89
1397,23
1398,8
1399,190
1400,136
1401,199
1402,1
1403,16
1404,60
1405,31
1406,163
1407,82
1408,50
1409,4
1410,79
1411,178
1412,18
1413,154
1414,90
1415,290
1416,92
1417,24
1418,225
1419,11
1420,25
1421,147
1422,117
1423,42
1424,73
1425,4
1426,15
1427,5
1428,6
1429,5
1430,4
1431,11
1432,7
1433,18
1434,288
1435,6
1436,223
1437,6
1438,354
1439,107
1440,355
1441,646
1442,1053
1443,109
1444,43
1445,13
1446,7
1447,4
1448,173
1449,7
1450,123
1451,12
1452,26
1453,8
1454,15
1455,63
1456,95
1457,23
1458,4
1459,20
1460,11
1461,163
1462,206
1463,9
1464,11
1465,0
1466,5
1467,27
1468,14
1469,19
1470,38
1471,67
1472,20
1473,12
1474,9
1475,10
1476,8
1477,2
1478,13
1479,10
1480,9
1481,235
1482,18
1483,114
1484,6
1485,10
1486,11
1487,33
1488,27
1489,10
1490,332
1491,78
1492,37
1493,59
1494,109
1495,50
1496,2
1497,5
1498,12
1499,22
1500,2
1501,580
1502,2140
1503,5
1504,81
1505,178
1506,4
1507,4
1508,1
1509,1
1510,76
1511,25
1512,20
1513,13
1514,9
1515,8
1516,6
1517,4
1518,3
1519,15
1520,410
1521,284
1522,215
1523,34
1524,34
1525,20
1526,10
1527,13
1528,13
1529,9
1530,10
1531,14
1532,10
1533,7
1534,8
1535,7
1536,7
1537,5
1538,7
1539,3
1540,4
1541,2
1542,3
1543,2
1544,2
1545,2
1546,2
1547,3
1548,2
1549,1
1550,1
1551,1
1552,1
1553,1
1554,0
1555,16
1556,0
1557,190
1558,145
1559,137
1560,94
1561,44
1562,58
1563,59
1564,76
1565,14
1566,16
1567,3
1568,7
1569,2
1570,1
1571,48
1572,23
1573,7
1574,6
1575,4
1576,8
1577,4
1578,13
1579,11
1580,5
1581,10
1582,10
1583,8
1584,7
1585,10
1586,6
1587,5
1588,4
1589,3
1590,2
1591,4
1592,4
1593,8
1594,4
1595,5
1596,3
1597,3
1598,4
1599,6
1600,100
1601,24
1602,9
1603,6
1604,11
1605,70
1606,364
1607,13
1608,130
1609,100
1610,11
1611,52
1612,180
1613,122
1614,52
1615,10
1616,9
1617,6
1618,2
1619,24
1620,20
1621,4
1622,48
1623,3290
1624,355
1625,162
1626,105
1627,77
1628,88
1629,64
1630,130
1631,157
1632,40
1633,23
1634,31
1635,44
1636,41
1637,31
1638,26
