Name,Abbrev,Status,Fall,Year,Place,Type,Mass,MetBull,Antarctic,"(Lat,Long)"
Allende **,,Official,Y,1969,"Chihuahua, Mexico",CV3,2 t,45,,"(26.966670, -105.316670)  "
Andreevka **,,Official,Y,1969,"Donetsk, Ukraine",L3,600 g,54,,"(48.700000, 37.500000)  "
Aprel'sky **,,Official,,1969,"Amurskaya oblast', Russia","Iron, IIIAB",54.6 kg,48,,"(53.300000, 126.116670)  "
Ashmore **,,Official,,1969,"Texas, USA",H5,55.4 kg,51,,"(32.900000, -102.283330)  "
Bench Crater,,Official,,1969,Moon,C1-ung,,,,
Benjamin,,Official,,1969,"Texas, USA",H4/5,51.8 kg,85,,"(33.583330, -99.800000)  "
Bou Hadid **,,Official,,1969,"Adrar, Algeria",L,374 g,50,,"(28.312500, 0.233330)  "
Bovedy **,,Official,Y,1969,"Northern Ireland, UK",L3,5.46 kg,46,,"(54.566670, -6.333330)  "
Buenaventura **,,Official,,1969,"Chihuahua, Mexico","Iron, IIIAB",113.6 kg,55,,"(29.800000, -107.550000)  "
De Kalb **,,Official,,1969,"Missouri, USA",H,566 g,51,,"(39.591670, -94.921940)  "
Delphos (d),,Official,,1969,"New Mexico, USA",H5,276 g,84,,"(34.050000, -103.550000)  "
Edjudina **,,Official,,1969,"Western Australia, Australia",H4,4.48 kg,53,,"(-29.586390, 122.181670)  "
Garrison **,,Official,,1969,"New Mexico, USA",H5,5.12 kg,56,,"(33.863330, -103.346670)  "
Glasston **,,Official,,1969,"North Dakota, USA",L5,1990 g,84,,"(48.716670, -97.300000)  "
Gobabeb **,,Official,,1969,"Swakopmund, Namibia",H4,27 kg,53,,"(-23.550000, 15.033330)  "
Grier (a),,Official,,1969,"New Mexico, USA",OC,12.4 g,,,"(34.381670, -103.391670)  "
Grier (b) **,,Official,,1969,"New Mexico, USA",L5-7,929 g,58,,"(34.266670, -103.383330)  "
Guin **,,Official,,1969,"Alabama, USA","Iron, ungrouped",34.5 kg,62,,"(33.966670, -87.916670)  "
Ikhrarene **,,Official,,1969,"Adrar, Algeria",L4,5.47 kg,50,,"(28.604170, 1.041670)  "
Leoville (b),,Official,,1969,"Kansas, USA",OC,2.5 kg,83,,"(39.608330, -100.475000)  "
Menindee Lakes 001,,Official,,1969,"New South Wales, Australia",L6,747 g,60,,"(-33.166670, 141.750000)  "
Menindee Lakes 002,,Official,,1969,"New South Wales, Australia",H5,270 g,,,"(-32.916670, 141.883330)  "
Menindee Lakes 003,,Official,,1969,"New South Wales, Australia",L6,172 g,,,"(-32.916670, 141.883330)  "
Menindee Lakes 004,,Official,,1969,"New South Wales, Australia",L6,158.5 g,,,"(-33.133330, 141.716670)  "
Menindee Lakes 005,,Official,,1969,"New South Wales, Australia",H5,72.9 g,,,"(-32.916670, 141.883330)  "
Menindee Lakes 006,,Official,,1969,"New South Wales, Australia",H6,68.2 g,,,"(-32.916670, 141.883330)  "
Murchison **,,Official,Y,1969,"Victoria, Australia",CM2,100 kg,48,,"(-36.616670, 145.200000)  "
Myersville,,Official,,1969,"Texas, USA",OC,5.4 kg,,,"(28.950000, -97.402780)  "
Nejed (no. 2),,Doubtful,,1969,Namibia?,Doubtful Iron,159 g,,,
Niger (C2),,Official,,1969,Niger,CM2,20 g,,,
North East Reid **,,Official,,1969,"South Australia, Australia",H5,38.6 g,54,,"(-30.033330, 129.016670)  "
North Forrest **,,Official,,1969,"Western Australia, Australia",H5,609 g,54,,"(-30.500000, 128.100000)  "
North Reid **,,Official,,1969,"Western Australia, Australia",LL5,309 g,54,,"(-30.000000, 128.916670)  "
North West Forrest (H) **,,Official,,1969,"Western Australia, Australia",H4,238 g,54,,"(-30.766670, 128.016670)  "
Oufrane **,,Official,,1969,"Adrar, Algeria",L,540 g,50,,"(28.295830, 0.025000)  "
Panhandle **,,Official,,1969,"Texas, USA",H5,1360 g,56,,"(35.333330, -101.383330)  "
Park **,,Official,,1969,"Kansas, USA",L6,13 kg,59,,"(39.110000, -100.361670)  "
Patora **,,Official,Y,1969,"Madhya Pradesh, India",H6,4.38 kg,52,,"(20.936940, 82.050000)  "
Prince George,,Doubtful,,1969,"British Columbia, Canada",Doubtful meteorite,,,,"(53.833330, -122.450000)  "
Redfields **,,Official,,1969,"Western Australia, Australia","Iron, ungrouped",8.74 kg,52,,"(-30.716670, 116.500000)  "
Reid **,,Official,,1969,"Western Australia, Australia",H5,144.1 g,54,,"(-30.066670, 128.983330)  "
Roosevelt County 039,RC 039,Official,,1969,"New Mexico, USA",H5,38 g,71,,"(34.083330, -103.500000)  "
Roosevelt County 040,RC 040,Official,,1969,"New Mexico, USA",H5,71.1 g,71,,"(34.083330, -103.500000)  "
Roosevelt County 041,RC 041,Official,,1969,"New Mexico, USA",L5,32.4 g,71,,"(34.083330, -103.500000)  "
Roosevelt County 042,RC 042,Official,,1969,"New Mexico, USA",H5,32.6 g,71,,"(34.083330, -103.516670)  "
Roosevelt County 043,RC 043,Official,,1969,"New Mexico, USA",H4/5,52.1 g,71,,"(34.083330, -103.616670)  "
Roosevelt County 062,RC 062,Official,,1969,"New Mexico, USA",H5,16.2 g,71,,"(34.216670, -103.500000)  "
Roosevelt County 063,RC 063,Official,,1969,"New Mexico, USA",L4,34.7 g,71,,"(34.083330, -103.500000)  "
Roosevelt County 064,RC 064,Official,,1969,"New Mexico, USA",H5,24.8 g,71,,"(34.083330, -103.500000)  "
Roosevelt County 081,RC 081,Official,,1969,"New Mexico, USA",H5,522 g,78,,"(33.633330, -103.166670)  "
Roosevelt County 082,RC 082,Official,,1969,"New Mexico, USA",H4,137 g,78,,"(34.083330, -103.566670)  "
