Name,Abbrev,Status,Fall,Year,Place,Type,Mass,MetBull,Antarctic,"(Lat,Long)"
Roosevelt County 083,RC 083,Official,,1969,"New Mexico, USA",H5,14.8 g,78,,"(33.666670, -103.416670)  "
Roosevelt County 084,RC 084,Official,,1969,"New Mexico, USA",L4,69.6 g,78,,"(34.200000, -103.233330)  "
Roosevelt County 085,RC 085,Official,,1969,"New Mexico, USA",L4,140 g,78,,"(34.316670, -103.383330)  "
Roosevelt County 098,RC 098,Official,,1969,"New Mexico, USA",L6,15 g,84,,"(34.216670, -103.550000)  "
Roosevelt County 099,RC 099,Official,,1969,"New Mexico, USA",H(5?),9.8 g,84,,"(33.600000, -103.300000)  "
Shibayama **,,Official,,1969,"Kanto, Japan",L6,235 g,56,,"(35.765000, 140.410000)  "
Suchy Dul **,,Official,Y,1969,"Královéhradecký, Czech Republic",L6,815 g,48,,"(50.538060, 16.263330)  "
Tulia (iron),,Official,,1969,"Texas, USA",Iron,190 g,83,,"(34.555000, -101.630000)  "
West Reid **,,Official,,1969,"Western Australia, Australia",H6,628 g,54,,"(-30.050000, 128.933330)  "
Wooramel **,,Official,,1969,"Western Australia, Australia",L5,71 kg,65,,"(-25.650000, 114.216670)  "
Yamato 691 **,Y-691,Official,,1969,Antarctica,EH3,715 g,52, NIPR,"(-71.848610, 36.519440)  "
Yamato 692 **,Y-692,Official,,1969,Antarctica,Diogenite,138 g,52, NIPR,"(-71.500000, 35.666670)  "
Yamato 693 **,Y-693,Official,,1969,Antarctica,CK4/5,150 g,52, NIPR,"(-71.500000, 35.666670)  "
Yamato 694 **,Y-694,Official,,1969,Antarctica,H6,62 g,52, NIPR,"(-71.500000, 35.666670)  "
Yamato 695,Y-695,Official,,1969,Antarctica,H5,38 g,, NIPR,"(-71.500000, 35.666670)  "
Yamato 696,Y-696,Official,,1969,Antarctica,H5,41 g,, NIPR,"(-71.500000, 35.666670)  "
Yamato 697,Y-697,Official,,1969,Antarctica,H4/5,25 g,, NIPR,"(-71.500000, 35.666670)  "
Yamato 698,Y-698,Official,,1969,Antarctica,H6,10 g,, NIPR,"(-71.500000, 35.666670)  "
Yamato 699,Y-699,Official,,1969,Antarctica,H5,10 g,, NIPR,"(-71.500000, 35.666670)  "
Yilmia **,,Official,,1969,"Western Australia, Australia",EL6,40 kg,51,,"(-31.191670, 121.533330)  "
Zacatecas (1969) **,,Official,,1969,Mexico,"Iron, IIIAB",6.66 kg,50,,
Akhricha **,,Official,,1968,"Adrar, Algeria",H,1760 g,50,,"(28.462500, 1.025000)  "
Awere **,,Official,Y,1968,"Northern, Uganda",L4,134 g,51,,"(2.716670, 32.833330)  "
Bethel (a),,Official,,1968,"New Mexico, USA",OC,18.3 g,,,"(34.233330, -103.383330)  "
Bethel (b),,Official,,1968,"New Mexico, USA",H4,56.8 g,83,,"(34.246670, -103.395000)  "
Boaz (stone),,Official,,1968,"New Mexico, USA",H5,1800 g,,,"(33.651670, -103.708330)  "
Boolka,,Official,,1968,"New South Wales, Australia",H5,12 kg,,,"(-30.066670, 141.066670)  "
Dalhart **,,Official,,1968,"Texas, USA",H5,4.4 kg,51,,"(36.043330, -102.408330)  "
Delphos (a),,Official,,1968,"New Mexico, USA",L4,1245 g,,,"(34.083330, -103.525000)  "
Delphos (b),,Official,,1968,"New Mexico, USA",OC,548 g,83,,"(34.090000, -103.611670)  "
Elida (a),,Official,,1968,"New Mexico, USA",L6,937 g,84,,"(33.783330, -103.576670)  "
Elida (b),,Official,,1968,"New Mexico, USA",OC,538 g,83,,"(33.916670, -103.518330)  "
Elida (c),,Official,,1968,"New Mexico, USA",H5,386 g,83,,"(33.790000, -103.563330)  "
Fenbark **,,Official,,1968,"Western Australia, Australia",H5,1861 g,53,,"(-30.440280, 121.256940)  "
Gunnadorah **,,Official,,1968,"Western Australia, Australia",H5,19.7 g,54,,"(-31.000000, 125.933330)  "
Idalia,,Official,,1968,"Colorado, USA",H,7.4 kg,,,"(39.695000, -102.295000)  "
Juromenha **,,Official,Y,1968,"Evora, Portugal","Iron, IIIAB",25.25 kg,45,,"(38.740280, -7.270000)  "
Kalvesta **,,Official,,1968,"Kansas, USA",H4,10 kg,47,,"(38.083330, -100.250000)  "
Kivesvaara **,,Official,,1968,"Oulu, Finland",CM2,164 g,59,,"(64.450000, 27.566670)  "
Leslie **,,Official,,1968,"Texas, USA",H5,895 g,83,,"(34.611390, -100.855000)  "
Loxton **,,Official,,1968,"South Australia, Australia",L5,22 g,69,,"(-34.450000, 140.566670)  "
Lucerne Valley 011,LV 011,Official,,1968,"California, USA",L6,3.8 g,83,,"(34.500000, -116.950000)  "
Lucerne Valley 012,LV 012,Official,,1968,"California, USA",H6,1.2 g,83,,"(34.500000, -116.950000)  "
Mokrousovo **,,Official,,1968,"Kurganskaya oblast', Russia",L/LL4/5,789 g,63,,"(55.900000, 66.700000)  "
Motpena (a) **,,Official,,1968,"South Australia, Australia",L6,8.81 kg,53,,"(-31.100000, 138.266670)  "
Nallah **,,Official,,1968,"Western Australia, Australia",H,4.62 g,53,,"(-31.966670, 126.250000)  "
Nazareth (d) **,,Official,,1968,"Texas, USA",H6,1500 g,65,,"(34.583330, -102.083330)  "
Nazareth (iron) **,,Official,,1968,"Texas, USA","Iron, IIIAB",11.31 kg,65,,"(34.526670, -102.105000)  "
Nova 073 **,,Official,,1968,"Wyoming, USA","Iron, IAB-MG",6.5 kg,113,,
Oak **,,Official,,1968,"Western Australia, Australia",L5,75.3 g,54,,"(-31.583330, 127.700000)  "
Oasis State Park,,Official,,1968,"New Mexico, USA",OC,606 g,,,"(34.228330, -103.358330)  "
Paso Rio Mayo,,Official,,1968,Argentina,Unknown,,,,
Piancaldoli **,,Official,Y,1968,"Emilia-Romagna, Italy",LL3.4,13.1 g,51,,"(44.244170, 11.502220)  "
Quinyambie,,Official,,1968,"South Australia, Australia",LL3.6,1638 g,,,"(-30.150000, 140.983330)  "
Roosevelt County 001,RC 001,Official,,1968,"New Mexico, USA",H3.8,462 g,63,,"(33.783330, -103.566670)  "
Roosevelt County 032 **,RC 032,Official,,1968,"New Mexico, USA",H5,141.1 g,71,,"(34.083330, -103.500000)  "
Roosevelt County 033,RC 033,Official,,1968,"New Mexico, USA",L4,21.8 g,71,,"(34.083330, -103.500000)  "
Roosevelt County 034,RC 034,Official,,1968,"New Mexico, USA",H5,118.5 g,71,,"(34.083330, -103.616670)  "
Roosevelt County 035,RC 035,Official,,1968,"New Mexico, USA",L6,81.6 g,71,,"(34.083330, -103.616670)  "
Roosevelt County 036,RC 036,Official,,1968,"New Mexico, USA",H5,65.2 g,71,,"(34.083330, -103.616670)  "
Roosevelt County 037,RC 037,Official,,1968,"New Mexico, USA",H4/5,94.3 g,71,,"(34.083330, -103.516670)  "
Roosevelt County 038,RC 038,Official,,1968,"New Mexico, USA",H5,49.4 g,71,,"(34.300000, -103.450000)  "
Roosevelt County 058 **,RC 058,Official,,1968,"New Mexico, USA",L4,12 g,71,,"(34.083330, -103.500000)  "
Roosevelt County 059,RC 059,Official,,1968,"New Mexico, USA",L6,26.2 g,71,,"(34.083330, -103.500000)  "
Roosevelt County 060,RC 060,Official,,1968,"New Mexico, USA",H5,34.2 g,71,,"(34.083330, -103.616670)  "
Roosevelt County 061,RC 061,Official,,1968,"New Mexico, USA",H5,49.5 g,71,,"(34.083330, -103.516670)  "
Roosevelt County 080,RC 080,Official,,1968,"New Mexico, USA",H6,728 g,78,,"(34.050000, -103.500000)  "
Saint-Aubin **,,Official,,1968,"Champagne-Ardenne, France","Iron, IIIAB",472 kg,87,,"(48.483330, 3.583330)  "
San Pedro Jacuaro **,,Official,Y,1968,"Michoacan, Mexico",LL6,460 g,90,,"(19.766670, -100.650000)  "
Schenectady **,,Official,Y,1968,"New York, USA",H5,283 g,44,,"(42.860830, -73.950280)  "
Smyer **,,Official,,1968,"Texas, USA",H6,3.27 kg,57,,"(33.583330, -102.166670)  "
Tres Estacas,,Official,,1968,Argentina,OC,150 kg,,,
Tsarev **,,Official,,1968,"Volgogradskaya oblast', Russia",L5,1.23 t,59,,"(48.700000, 45.700000)  "
Webb **,,Official,,1968,"Western Australia, Australia",L6,411 g,54,,"(-31.691670, 127.783330)  "
Wildara **,,Official,,1968,"Western Australia, Australia",H5,500 kg,54,,"(-28.233330, 120.850000)  "
Wynyard **,,Official,,1968,"Saskatchewan, Canada",H5,3.48 kg,62,,"(51.883330, -104.183330)  "
Yagan 001 **,,Official,,1968,"Nei Mongol, China",H6§,11 kg,113,,"(41.357500, 102.416670)  "
Armel **,,Official,,1967,"Colorado, USA",L5,9.2 kg,49,,"(39.766670, -102.133330)  "
Baandee **,,Official,,1967,"Western Australia, Australia",H6,256 g,53,,"(-31.616670, 118.033330)  "
Buritizal **,,Official,Yc,1967,"Sao Paulo, Brazil",LL3.2,210 g,105,,"(-20.182580, -47.716690)  "
Caldera **,,Official,,1967,"Atacama, Chile",Eucrite-mmict,500 g,75,,"(-27.050000, -70.800000)  "
Cope (b),,Official,,1967,"Colorado, USA",H5,817 g,83,,"(39.683330, -102.845000)  "
Credo **,,Official,,1967,"Western Australia, Australia",L6,10.82 kg,53,,"(-30.366670, 120.733330)  "
Denver **,,Official,Y,1967,"Colorado, USA",L6,230 g,43,,"(39.782500, -104.930560)  "
Doolgunna **,,Official,,1967,"Western Australia, Australia",L,20 g,53,,"(-25.933330, 119.300000)  "
Enigma **,,Official,,1967,"Georgia, USA",H4,94 g,39,,"(31.333330, -82.316670)  "
Fluvanna (a) **,,Official,,1967,"Texas, USA",L5,9.5 kg,62,,"(32.800000, -101.116670)  "
Forrest 001 **,,Official,,1967,"Western Australia, Australia",H5,97.7 g,68,,"(-30.816670, 128.216670)  "
Georgetown **,,Official,,1967,"Colorado, USA",H6,687 g,39,,"(39.700000, -105.700000)  "
Hartley,,Official,,1967,"Texas, USA",L,2.1 kg,,,"(35.941670, -102.160000)  "
Kingai **,,Official,Y,1967,"Darfur, Sudan",H6,67.4 g,43,,"(11.633330, 24.683330)  "
Laundry East **,,Official,,1967,"Western Australia, Australia",H3.7,43.1 g,54,,"(-31.533330, 127.100000)  "
Laundry Rockhole **,,Official,,1967,"Western Australia, Australia",H5,1443 g,54,,"(-31.533330, 127.016670)  "
Laundry West **,,Official,,1967,"Western Australia, Australia",L4,4 kg,54,,"(-31.466670, 126.933330)  "
Little River (a) **,,Official,,1967,"Kansas, USA",H6,4.4 kg,49,,"(38.383330, -98.016670)  "
Markovka **,,Official,,1967,"Altayskiy kray, Russia",H4,54.2 kg,48,,"(52.400000, 79.800000)  "
Masua,,Official,,1967,Italy,"Iron, IAB-sLL",1460 g,,,
Mossgiel **,,Official,,1967,"New South Wales, Australia",L4,32.38 kg,49,,"(-33.316670, 144.783330)  "
Nazareth (b) **,,Official,,1967,"Texas, USA",L6,3.6 kg,65,,"(34.500000, -102.250000)  "
Niger (L6) **,,Official,Y,1967,Niger,L6,114.2 g,,,
Niger (LL6) **,,Discredited,,1967,Niger,LL6,3.3 g,,,
Nova Petropolis **,,Official,,1967,"Rio Grande do Sul, Brazil","Iron, IIIAB",305 kg,62,,"(-29.433330, -50.916670)  "
Parambu **,,Official,Y,1967,"Ceara, Brazil",LL5,2 kg,52,,"(-6.233330, -40.700000)  "
Portales (a),,Official,,1967,"New Mexico, USA",H4,3.24 kg,,,"(34.066670, -103.500000)  "
Portales (b),,Official,,1967,"New Mexico, USA",L6,596 g,,,"(34.066670, -103.500000)  "
Portales (c),,Official,,1967,"New Mexico, USA",H4,6 kg,,,"(34.100000, -103.416670)  "
Seminole (c),,Official,,1967,"Texas, USA",H4,1711 g,83,,"(32.550000, -102.391670)  "
Seymchan **,,Official,,1967,"Magadanskaya oblast', Russia","Pallasite, PMG",323.3 kg,43,,"(62.900000, 152.433330)  "
Tarlton **,,Official,,1967,"Ohio, USA",H4,227 g,65,,"(39.320000, -82.370000)  "
Tathlith **,,Official,Y,1967,"'Asir, Saudi Arabia",L6,2.5 kg,43,,"(19.383330, 43.733330)  "
Tiberrhamine **,,Official,,1967,"Adrar, Algeria",L6,107 kg,50,,"(28.116670, 0.533330)  "
Tugalin-Bulen **,,Official,Y,1967,"Dundgovi, Mongolia",H6,10 kg,56,,"(45.466670, 105.383330)  "
Vilna **,,Official,Y,1967,"Alberta, Canada",L5,0.1 g,40,,"(54.225000, -111.691670)  "
Wiluna **,,Official,Y,1967,"Western Australia, Australia",H5,150 kg,52,,"(-26.592780, 120.328330)  "
Zerhamra **,,Official,,1967,"Bechar, Algeria","Iron, IIIAB-an",630 kg,52,,"(29.858610, -2.645000)  "
Albion **,,Official,,1966,"Washington, USA","Iron, IVA",12.28 kg,81,,"(46.833330, -117.250000)  "
Avoca (Western Australia),,Official,,1966,"Western Australia, Australia","Iron, IIIAB",37.85 kg,,,"(-30.850000, 122.316670)  "
Burrika,,Official,,1966,"Western Australia, Australia",L6,20.4 g,,,"(-31.966670, 125.833330)  "
Cardanumbi,,Official,,1966,"Western Australia, Australia",L5,6.4 g,,,"(-32.100000, 125.683330)  "
Chitado **,,Official,Y,1966,"Cunene, Angola",L6,,53,,"(-17.350000, 13.966670)  "
Coorara **,,Official,,1966,"Western Australia, Australia",L6,116.7 g,54,,"(-30.450000, 126.100000)  "
Elba **,,Official,,1966,"Colorado, USA",H5,4.18 kg,51,,"(39.833330, -103.216670)  "
Faucett **,,Official,,1966,"Missouri, USA",H5,100 kg,37,,"(39.616670, -94.866670)  "
Floyd **,,Official,,1966,"New Mexico, USA",L4,13 kg,51,,"(34.193330, -103.575000)  "
Hamilton (Queensland) **,,Official,,1966,"Queensland, Australia",L6,68 kg,42,,"(-28.483330, 148.250000)  "
Inman **,,Official,,1966,"Kansas, USA",L/LL3.4,7.25 kg,41,,"(38.250000, -97.666670)  "
Kaffir (b) **,,Official,,1966,"Texas, USA",H4,3.5 kg,56,,"(34.671670, -101.815000)  "
Keqi,,Undocumented,,1966,"Nei Mongol, China",Iron,127 kg,,,"(42.733330, 117.500000)  "
Kramer Creek **,,Official,,1966,"Colorado, USA",L4,2.3 kg,52,,"(38.392500, -104.176670)  "
Kress (b),,Official,,1966,"Texas, USA",L4,2.6 kg,83,,"(34.358330, -101.730000)  "
Palermo,,Official,,1966,"Distrito Federal, Argentina",Unknown,,,,"(-34.550000, -58.433330)  "
Pavel **,,Official,Y,1966,"Veliko Turnovo, Bulgaria",H5,2.97 kg,36,,"(43.466670, 25.516670)  "
Pep,,Official,,1966,"Texas, USA",OC,591 g,,,"(33.730000, -102.576670)  "
Seoni **,,Official,Y,1966,"Maharashtra, India",H6,20 kg,52,,"(21.683890, 79.500830)  "
Skiff **,,Official,,1966,"Alberta, Canada",H4,3.54 kg,59,,"(49.250000, -111.866670)  "
Sleeper Camp 002,,Official,,1966,"Western Australia, Australia",Iron,39.5 g,,,"(-30.483330, 126.250000)  "
Saint-Séverin **,,Official,Y,1966,"Poitou-Charentes, France",LL6,271 kg,40,,"(45.300000, 0.233330)  "
Timmersoi **,,Official,,1966,"Agadez, Niger",L5,516 g,50,,"(18.916670, 6.250000)  "
Umm Ruaba **,,Official,Y,1966,"Kurdufan, Sudan",L5,1700 g,40,,"(13.466670, 31.216670)  "
Wellman (d),,Official,,1966,"Texas, USA",H,1615 g,,,"(33.016670, -102.366670)  "
Yocemento **,,Official,,1966,"Kansas, USA",L4,5.92 kg,47,,"(38.900000, -99.433330)  "
Zhigansk **,,Official,,1966,"Respublika Sakha(Yakutiya), Russia","Iron, IIIAB",900 kg,60,,"(68.000000, 128.300000)  "
Anton **,,Official,,1965,"Texas, USA",H4,41.8 kg,62,,"(33.782500, -102.181110)  "
Barwell **,,Official,Y,1965,"England, UK",L5,44 kg,35,,"(52.565280, -1.339720)  "
Bocaiuva **,,Official,,1965,"Minas Gerais, Brazil","Iron, ungrouped",64 kg,62,,"(-17.166670, -43.833330)  "
Burnabbie,,Official,,1965,"Western Australia, Australia",H5,2.52 kg,,,"(-32.050000, 126.166670)  "
Catherwood **,,Official,,1965,"Saskatchewan, Canada",L6,3.92 kg,52,,"(51.965000, -107.438330)  "
Conquista **,,Official,Y,1965,"Minas Gerais, Brazil",H4,20.35 kg,59,,"(-19.850000, -47.550000)  "
Del Rio,,Official,,1965,"Texas, USA","Iron, IIF",3.6 kg,,,"(29.366670, -100.966670)  "
Dingo Pup Donga,,Official,,1965,"Western Australia, Australia",Ureilite,122.7 g,,,"(-30.433330, 126.100000)  "
Erie **,,Official,,1965,"Colorado, USA",L6,3.3 kg,34,,"(40.031670, -105.056670)  "
Etter **,,Official,,1965,"Texas, USA",L5,450 kg,53,,"(35.983330, -101.900000)  "
Eva **,,Official,,1965,"Oklahoma, USA",H5,6.7 kg,51,,"(36.816670, -101.908330)  "
Ferintosh **,,Official,,1965,"Alberta, Canada",L6,2.2 kg,102,,"(52.800000, -112.983330)  "
Guangyuan,,Official,,1965,"Sichuan, China",Iron,,,,"(32.400000, 105.900000)  "
Hamilton (Texas),,Official,,1965,"Texas, USA",OC,2.7 kg,,,"(31.593330, -98.250000)  "
Hautes Fagnes **,,Official,,1965,"Liege, Belgium",LL5,185 g,99,,"(50.583330, 6.166670)  "
Hebron **,,Official,,1965,"Nebraska, USA",H6,21.82 kg,82,,"(40.166670, -97.600000)  "
Hejing,,Official,,1965,"Xinjiang, China",Iron,,,,"(42.400000, 86.300000)  "
Johnny's Donga,,Official,,1965,"Western Australia, Australia",Unknown,,,,"(-30.333330, 126.366670)  "
Kabakly **,,Official,,1965,"Chardzhou, Turkmenistan",H4,71.6 g,45,,"(39.766670, 62.516670)  "
Kaffir (a),,Official,,1965,"Texas, USA",L5,1875 g,,,"(34.623330, -101.916670)  "
Kapunda,,Official,,1965,"South Australia, Australia","Iron, IIIAB",542 g,,,"(-34.316670, 138.933330)  "
Kinley **,,Official,,1965,"Saskatchewan, Canada",L6,2 kg,52,,"(52.046670, -107.233330)  "
Kyle **,,Official,,1965,"Texas, USA",L6,7.78 kg,51,,"(29.975000, -97.866670)  "
Little River (b),,Official,,1965,"Kansas, USA",H4/5,11.7 kg,,,"(38.440000, -98.066670)  "
Lone Star **,,Official,,1965,"Texas, USA",H4,4.3 kg,51,,"(34.259720, -101.408330)  "
Lucerne Valley 009,LV 009,Official,,1965,"California, USA",H4,3 g,83,,"(34.500000, -116.950000)  "
Lucerne Valley 010,LV 010,Official,,1965,"California, USA",H4,6.4 g,83,,"(34.500000, -116.950000)  "
Monturaqui,,Official,,1965,"Antofagasta, Chile","Iron, IAB?",2 kg,,,"(-23.933330, -68.283330)  "
Moorabie **,,Official,,1965,"New South Wales, Australia",L3.8-an,14.04 kg,53,,"(-30.016670, 141.066670)  "
New York **,,Official,,1965,(unknown),"Iron, IIIAB",2.95 kg,101,,
Norristown **,,Official,,1965,"Georgia, USA","Iron, IIIAB",4.2 kg,55,,"(32.516670, -82.550000)  "
Northeast Africa 036 **,NEA 036,Official,,1965,Libya,"Iron, IIIAB",1239 g,111,,
Pannikin **,,Official,,1965,"Western Australia, Australia",L6,13.6 g,53,,"(-32.041670, 126.183330)  "
Post **,,Official,,1965,"Texas, USA",L,2 kg,51,,"(33.116670, -101.383330)  "
Revelstoke **,,Official,Y,1965,"British Columbia, Canada",CI1,1 g,34,,"(51.333330, -118.950000)  "
River,,Official,,1965,"Western Australia, Australia",L5,190.5 g,,,"(-30.366670, 126.016670)  "
St. Lawrence **,,Official,,1965,"Texas, USA",LL6,2.6 kg,49,,"(31.733330, -101.505000)  "
Seminole (b),,Official,,1965,"Texas, USA",H4,1184 g,83,,"(32.543330, -102.705000)  "
Severny Kolchim **,,Official,,1965,"Permskaya oblast', Russia",H3,1390 g,38,,"(60.500000, 57.000000)  "
Southern Michigan,,Official,,1965,"Michigan, USA",Iron,49 g,,,
Springer,,Official,,1965,"Oklahoma, USA",H5,8.14 kg,,,"(36.346110, -97.185000)  "
Takysie Lake,,Pseudo,,1965,"British Columbia, Canada",Pseudometeorite,17.7 g,,,"(53.500000, -125.500000)  "
Taonan,,Official,Y,1965,"Jilin, China",L5,3.85 kg,,,"(45.400000, 122.900000)  "
Thurman **,,Official,,1965,"Colorado, USA",OC,1959 g,56,,"(39.521670, -103.166670)  "
Tierra Blanca **,,Official,,1965,"Texas, USA",Winonaite,860 g,56,,"(34.933330, -102.016670)  "
Tishomingo,,Official,,1965,"Oklahoma, USA","Iron, ungrouped",260 kg,,,"(34.250000, -96.683330)  "
Verissimo,,Official,,1965,"Minas Gerais, Brazil","Iron, IIIAB",14 kg,,,"(-19.733330, -48.316670)  "
Wikieup,,Official,,1965,"Arizona, USA",H5,372 g,,,"(34.700000, -113.600000)  "
Wilbia **,,Official,,1965,"South Australia, Australia",H5,94 g,54,,"(-26.450000, 131.000000)  "
Yayjinna,,Official,,1965,"Western Australia, Australia",L6,263 g,,,"(-32.033330, 126.175000)  "
Atwood (b),,Official,,1964,"Colorado, USA",OC,77 g,83,,"(40.516670, -103.266670)  "
Brownfield (1964) **,,Official,,1964,"Texas, USA",H5,4.1 kg,34,,"(33.216670, -102.183330)  "
Bulls Run,,Official,Y,1964,South Africa,Iron?,2.25 kg,,,
Çanakkale **,,Official,Y,1964,"Canakkale, Turkey",L6,4 kg,33,,"(39.800000, 26.600000)  "
Changxing **,,Official,Y,1964,"Shanghai, China",H5,27.9 kg,,,"(31.425278, 121.679722)  "
Chernyi Bor **,,Official,Y,1964,"Mogilev, Belarus",H4,6 kg,51,,"(53.700000, 30.100000)  "
Claytonville **,,Official,,1964,"Texas, USA",L5,15.6 kg,49,,"(34.346670, -101.490000)  "
Corowa **,,Official,,1964,"New South Wales, Australia","Iron, IIF",11.34 kg,31,,"(-36.000000, 146.366670)  "
Frenchman Bay,,Official,,1964,"Western Australia, Australia",H3.5,8.8 kg,,,"(-30.608330, 115.166670)  "
Granes,,Official,Y,1964,"Languedoc-Roussillon, France",L6,9 kg,,,"(42.900000, 2.250000)  "
Grassland,,Official,,1964,"Texas, USA",L4,4.4 kg,,,"(33.116670, -101.583330)  "
Jiange,,Official,Y,1964,"Sichuan, China",H5,222 g,,,"(31.916670, 104.916670)  "
