Name,Abbrev,Status,Fall,Year,Place,Type,Mass,MetBull,Antarctic,"(Lat,Long)"
Acfer 402 **,,Official,,2019,"Tamanghasset, Algeria",CV3,620 g,109,,"(27.511860, 3.948530)  "
Ad Damer **,,Official,,2019,"Ash Shamaliyah, Sudan","Iron, IAB complex",1307 g,111,,"(17.835330, 33.842170)  "
Agua Buena 003,,Official,,2019,"Antofagasta, Chile",L4,400 g,113,,"(-24.435780, -69.599230)  "
Aguas Zarcas **,,Official,Yc,2019,"Alajuela, Costa Rica",CM2,27 kg,108,,"(10.391400, -84.341270)  "
Al Farciya **,,Official,Yc,2019,Western Sahara,L6,1300 g,109,,"(27.024330, -9.744330)  "
Al Haggounia 010 **,,Official,,2019,"Saguia el Hamra, Western Sahara",Aubrite,35 kg,110,,"(27.500000, -12.500000)  "
Arpu Kuilpu **,,Official,Yc,2019,"South Australia, Australia",H5,42.2 g,110,,"(-30.623690, 129.631270)  "
Asuka 18001,A 18001,Official,,2019,Antarctica,L5,7.5 g,108, Turkey,"(-72.739480, 24.074920)  "
Asuka 18002,A 18002,Official,,2019,Antarctica,H5,50.7 g,108, Turkey,"(-72.740380, 24.094990)  "
Asuka 18003,A 18003,Official,,2019,Antarctica,H5,6.2 g,108, Turkey,"(-72.740320, 24.090660)  "
Asuka 19001,A 19001,Official,,2019,Antarctica,H5,6.7 g,113,J29 NIPR-RBINS,
Asuka 19002,A 19002,Official,,2019,Antarctica,L3,18.3 g,113,J29 NIPR-RBINS,
Asuka 19004,A 19004,Official,,2019,Antarctica,H5,32.9 g,113,J29 NIPR-RBINS,
Asuka 19005,A 19005,Official,,2019,Antarctica,L6,11.9 g,113,J29 NIPR-RBINS,
Asuka 19006,A 19006,Official,,2019,Antarctica,CO3,232 g,113,J29 NIPR-RBINS,
Asuka 19007,A 19007,Official,,2019,Antarctica,L6,95.5 g,113,J29 NIPR-RBINS,
Asuka 19008,A 19008,Official,,2019,Antarctica,L5,112.5 g,113,J29 NIPR-RBINS,
Asuka 19009,A 19009,Official,,2019,Antarctica,CK6,69.5 g,113,J29 NIPR-RBINS,
Asuka 19010,A 19010,Official,,2019,Antarctica,H4,155.6 g,113,J29 NIPR-RBINS,
Asuka 19011,A 19011,Official,,2019,Antarctica,Eucrite,66 g,113,J29 NIPR-RBINS,
Asuka 19012,A 19012,Official,,2019,Antarctica,H5,20.9 g,113,J29 NIPR-RBINS,
Asuka 19014,A 19014,Official,,2019,Antarctica,H5,30.4 g,113,J29 NIPR-RBINS,
Asuka 19015,A 19015,Official,,2019,Antarctica,H5,21.3 g,113,J29 NIPR-RBINS,
Asuka 19016,A 19016,Official,,2019,Antarctica,H5,14.2 g,113,J29 NIPR-RBINS,
Asuka 19017,A 19017,Official,,2019,Antarctica,L5,133.6 g,113,J29 NIPR-RBINS,
Asuka 19018,A 19018,Official,,2019,Antarctica,Eucrite,111.9 g,113,J29 NIPR-RBINS,
Asuka 19019,A 19019,Official,,2019,Antarctica,LL4,145.9 g,113,J29 NIPR-RBINS,
Asuka 19020,A 19020,Official,,2019,Antarctica,LL4,71.2 g,113,J29 NIPR-RBINS,
Asuka 19021,A 19021,Official,,2019,Antarctica,H5,377 g,113,J29 NIPR-RBINS,
Asuka 19022,A 19022,Official,,2019,Antarctica,LL5,379 g,113,J29 NIPR-RBINS,
Asuka 19023,A 19023,Official,,2019,Antarctica,H6,1.79 g,113,J29 NIPR-RBINS,
Asuka 19024,A 19024,Official,,2019,Antarctica,H5,33.8 g,113,J29 NIPR-RBINS,
Asuka 19026,A 19026,Official,,2019,Antarctica,H5,12.7 g,113,J29 NIPR-RBINS,
Asuka 19027,A 19027,Official,,2019,Antarctica,LL4,14.3 g,113,J29 NIPR-RBINS,
Asuka 19028,A 19028,Official,,2019,Antarctica,LL5,142.6 g,113,J29 NIPR-RBINS,
Asuka 19029,A 19029,Official,,2019,Antarctica,H5,709 g,113,J29 NIPR-RBINS,
Asuka 19030,A 19030,Official,,2019,Antarctica,L3,655 g,113,J29 NIPR-RBINS,
Asuka 19031,A 19031,Official,,2019,Antarctica,LL5,113.2 g,113,J29 NIPR-RBINS,
Asuka 19032,A 19032,Official,,2019,Antarctica,H5,48.1 g,113,J29 NIPR-RBINS,
Asuka 19033,A 19033,Official,,2019,Antarctica,H6,7.2 g,113,J29 NIPR-RBINS,
Asuka 19034,A 19034,Official,,2019,Antarctica,LL4,79.8 g,113,J29 NIPR-RBINS,
Asuka 19036,A 19036,Official,,2019,Antarctica,L6,67 g,113,J29 NIPR-RBINS,
Asuka 19037,A 19037,Official,,2019,Antarctica,L6,197.3 g,113,J29 NIPR-RBINS,
Asuka 19038,A 19038,Official,,2019,Antarctica,H5,58.3 g,113,J29 NIPR-RBINS,
Asuka 19039,A 19039,Official,,2019,Antarctica,L6,271 g,113,J29 NIPR-RBINS,
Asuka 19040,A 19040,Official,,2019,Antarctica,L6,251 g,113,J29 NIPR-RBINS,
Asuka 19041,A 19041,Official,,2019,Antarctica,L6,318 g,113,J29 NIPR-RBINS,
Asuka 19042,A 19042,Official,,2019,Antarctica,L6,28.5 g,113,J29 NIPR-RBINS,
Asuka 19043,A 19043,Official,,2019,Antarctica,L6,426 g,113,J29 NIPR-RBINS,
Asuka 19044,A 19044,Official,,2019,Antarctica,L6,231 g,113,J29 NIPR-RBINS,
Asuka 19045,A 19045,Official,,2019,Antarctica,L6,139.3 g,113,J29 NIPR-RBINS,
Asuka 19046,A 19046,Official,,2019,Antarctica,L6,85 g,113,J29 NIPR-RBINS,
Asuka 19047,A 19047,Official,,2019,Antarctica,H5,52.9 g,113,J29 NIPR-RBINS,
Asuka 19048,A 19048,Official,,2019,Antarctica,H5,10.7 g,113,J29 NIPR-RBINS,
Asuka 19049,A 19049,Official,,2019,Antarctica,H5,97.5 g,113,J29 NIPR-RBINS,
Asuka 19050,A 19050,Official,,2019,Antarctica,L6,7.8 g,113,J29 NIPR-RBINS,
Asuka 19051,A 19051,Official,,2019,Antarctica,L6,32.2 g,113,J29 NIPR-RBINS,
Asuka 19052,A 19052,Official,,2019,Antarctica,H3,14.1 g,113,J29 NIPR-RBINS,
Asuka 19053,A 19053,Official,,2019,Antarctica,L6,26.7 g,113,J29 NIPR-RBINS,
Asuka 19054,A 19054,Official,,2019,Antarctica,L6,6.2 g,113,J29 NIPR-RBINS,
Asuka 19056,A 19056,Official,,2019,Antarctica,L4,156.5 g,113,J29 NIPR-RBINS,
Asuka 19057,A 19057,Official,,2019,Antarctica,L6,188 g,113,J29 NIPR-RBINS,
Asuka 19058,A 19058,Official,,2019,Antarctica,H5,55 g,113,J29 NIPR-RBINS,
Asuka 19059,A 19059,Official,,2019,Antarctica,L6,21.2 g,113,J29 NIPR-RBINS,
Asuka 19060,A 19060,Official,,2019,Antarctica,L6,19.8 g,113,J29 NIPR-RBINS,
Asuka 19061,A 19061,Official,,2019,Antarctica,L6,9 g,113,J29 NIPR-RBINS,
Asuka 19063,A 19063,Official,,2019,Antarctica,L6,41.5 g,113,J29 NIPR-RBINS,
Asuka 19064,A 19064,Official,,2019,Antarctica,L6,15.7 g,113,J29 NIPR-RBINS,
Asuka 19065,A 19065,Official,,2019,Antarctica,L6,14.3 g,113,J29 NIPR-RBINS,
Asuka 19066,A 19066,Official,,2019,Antarctica,CM2,16.5 g,113,J29 NIPR-RBINS,
Aydar 004 **,,Official,,2019,"South, Morocco",Eucrite-br,165.6 g,109,,"(27.880000, -10.418000)  "
Aydar 005,,Official,,2019,"South, Morocco",LL6,230 g,109,,"(27.880210, -10.418450)  "
Bir Moghrein 002 **,BiM 002,Official,,2019,"Tiris Zemmour, Mauritania",Martian (nakhlite),1200 g,112,,"(25.519910, -11.169370)  "
Brierskop **,,Official,,2019,"Northern Cape, South Africa",H4,21.2 g,112,,"(-29.715280, 19.640600)  "
Calama 032 **,,Official,,2019,"Antofagasta, Chile",H5,28 g,108,,"(-22.456500, -68.809670)  "
Calama 033 **,,Official,,2019,"Antofagasta, Chile",H6,126.4 g,108,,"(-22.146830, -68.622830)  "
Calama 034,,Official,,2019,"Antofagasta, Chile",H3,10 g,108,,"(-22.462670, -68.813330)  "
Calama 070,,Official,,2019,"Antofagasta, Chile",L6,20 g,109,,"(-22.457000, -68.815500)  "
Calama 071,,Official,,2019,"Antofagasta, Chile",H5,141.8 g,109,,"(-22.461670, -68.826830)  "
Calama 072,,Official,,2019,"Antofagasta, Chile",H5,137 g,109,,"(-22.495500, -68.867170)  "
Calama 073,,Official,,2019,"Antofagasta, Chile",L6,1115 g,109,,"(-22.481330, -68.800000)  "
Calama 075 **,,Official,,2019,"Antofagasta, Chile",H3,220 g,109,,"(-22.484170, -68.802830)  "
Calama 076 **,,Official,,2019,"Antofagasta, Chile",Diogenite,443 g,109,,"(-22.488670, -68.889120)  "
Calama 082 **,,Official,,2019,"Antofagasta, Chile",Diogenite-pm,2.85 kg,109,,"(-22.141670, -68.622830)  "
Calama 083,,Official,,2019,"Antofagasta, Chile",H5,238 g,109,,"(-22.448830, -68.633000)  "
Calama 084,,Official,,2019,"Antofagasta, Chile",H5,114 g,109,,"(-22.444500, -68.641830)  "
Calama 086,,Official,,2019,"Antofagasta, Chile",H5,93.6 g,109,,"(-22.463330, -68.997500)  "
Calama 088,,Official,,2019,"Antofagasta, Chile",H5,37 g,109,,"(-22.180170, -68.619500)  "
Calama 089,,Official,,2019,"Antofagasta, Chile",L5,67 g,109,,"(-22.315000, -68.680330)  "
Calama 099,,Official,,2019,"Antofagasta, Chile",L5,68 g,109,,"(-22.436170, -68.637830)  "
Calama 100,,Official,,2019,"Antofagasta, Chile",L6,160 g,109,,"(-22.136830, -68.620500)  "
Calama 101,,Official,,2019,"Antofagasta, Chile",H5,40 g,109,,"(-22.163500, -68.627670)  "
Calama 102,,Official,,2019,"Antofagasta, Chile",L6,30 g,109,,"(-22.454330, -68.818000)  "
Calama 103,,Official,,2019,"Antofagasta, Chile",H6,12 g,109,,"(-22.457670, -68.617830)  "
Calama 104,,Official,,2019,"Antofagasta, Chile",L6,18 g,109,,"(-22.466330, -68.821500)  "
Calama 105,,Official,,2019,"Antofagasta, Chile",H3,18 g,109,,"(-22.457000, -68.820330)  "
Calama 106,,Official,,2019,"Antofagasta, Chile",L5,55 g,109,,"(-22.457830, -68.820170)  "
Calama 109,,Official,,2019,"Antofagasta, Chile",H5,780 g,109,,"(-22.454000, -68.819330)  "
Calama 110,,Official,,2019,"Antofagasta, Chile",LL5,53 g,109,,"(-22.140830, -68.627000)  "
Calama 111,,Official,,2019,"Antofagasta, Chile",H5,54 g,109,,"(-22.147330, -68.630670)  "
Calama 112,,Official,,2019,"Antofagasta, Chile",L6,28.4 g,109,,"(-22.275670, -68.644830)  "
Calama 113,,Official,,2019,"Antofagasta, Chile",L6,63 g,109,,"(-22.455670, -68.818330)  "
Calama 116,,Official,,2019,"Antofagasta, Chile",H5,3.85 g,109,,"(-22.453500, -68.635830)  "
Calama 117,,Official,,2019,"Antofagasta, Chile",H6,61.4 g,109,,"(-22.453330, -68.641330)  "
Calama 118,,Official,,2019,"Antofagasta, Chile",L6,800 g,109,,"(-22.476170, -68.844330)  "
Calama 119,,Official,,2019,"Antofagasta, Chile",H5,3.38 kg,109,,"(-22.474170, -68.844170)  "
Calama 120,,Official,,2019,"Antofagasta, Chile",H5,15.6 g,109,,"(-22.486500, -68.737330)  "
Calama 121,,Official,,2019,"Antofagasta, Chile",L5,96.5 g,109,,"(-22.472670, -68.757330)  "
Calama 122,,Official,,2019,"Antofagasta, Chile",L6,173 g,109,,"(-22.452000, -68.636330)  "
