name,year,place,type,mass,coordinates,latitude,longitude
errachidia 004 **,2020,"errachidia, morocco",winonaite-an,2.64 kg,"32.040300, -4.068200",32.0403,-4.0682
errachidia 005 **,2020,morocco,l3,1600 g,"31.786070, -4.719570",31.78607,-4.71957
foum agoutir 002,2020,morocco,l6,157 g,"28.053060, -12.051670",28.05306,-12.05167
foum zguid 002,2020,morocco,h5,65 g,"30.051940, -6.922220",30.05194,-6.92222
gadamis 002 **,2020,"nalut, libya",lunar (anorth),712 g,"30.284214, 11.005211",30.284214,11.005211
gatuto **,2020,"central, kenya",l6,25 kg,"-0.570000, 37.290000",-0.57,37.29
ghadduwah 001 **,2020,"awbari, libya",lunar (anorth),265 g,"26.803060, 13.535280",26.80306,13.53528
ghardaïa 001 **,2020,"ghardaia, algeria",lunar (feldsp. breccia),760 g,"32.728640, 4.479970",32.72864,4.47997
ghardaïa 002 **,2020,"ghardaia, algeria",lunar (feldsp. breccia),90 g,"32.711970, 4.479970",32.71197,4.47997
gourara 003 **,2020,"ghardaia, algeria",eucrite-mmict,3.27 kg,"29.813170, 2.944330",29.81317,2.94433
guelb dahmani 001 **,2020,"adrar, algeria",l5,728 g,"26.254000, -4.070000",26.254,-4.07
hassi el biod 001 **,2020,"ouargla, algeria",diogenite-an,763 g,"28.771140, 5.502780",28.77114,5.50278
hassi messaoud 001 **,2020,"ouargla, algeria",martian (nakhlite),75 g,"31.851830, 6.976500",31.85183,6.9765
hassi touil 001 **,2020,"illizi, algeria",lunar (feldsp. breccia),221 g,"27.294170, 7.183830",27.29417,7.18383
hongshijing 003 **,2020,"xinjiang, china","iron, iab complex",267 g,"40.383330, 92.350000",40.38333,92.35
iran 025 **,2020,iran,l3,7.51 kg,,,
jahrom 001,2020,"fars, iran",l6,1900 g,"28.644720, 53.377500",28.64472,53.3775
jandaq 001,2020,"esfahan, iran",h5§,3.53 kg,"34.142120, 54.929830",34.14212,54.92983
jandaq 002 **,2020,"esfahan, iran",ll6§,2.12 kg,"34.031200, 55.339620",34.0312,55.33962
jandaq 003,2020,"esfahan, iran",l6,643 g,"34.099170, 54.204720",34.09917,54.20472
jazmourian 001,2020,"sistan va baluchestan, iran",h6,585 g,"27.042900, 59.994090",27.0429,59.99409
jdiriya 004 **,2020,"saguia el hamra, western sahara",r3,142 g,"27.290900, -10.367310",27.2909,-10.36731
kereb es sefiat 001 **,2020,"tindouf, algeria",ll3,706 g,"27.099610, -7.401190",27.09961,-7.40119
kindberg **,2020,"steiermark, austria",l6,233 g,"47.516670, 15.433330",47.51667,15.43333
kolang **,2020,"sumatera utara, indonesia",cm1/2,2.55 kg,"1.888560, 98.661000",1.88856,98.661
kounadja **,2020,"mopti, mali","iron, iva",16.75 kg,"14.960500, -2.960000",14.9605,-2.96
krest-kytyl **,2020,"respublika sakha(yakutiya), russia",h5,57 kg,"62.646670, 129.713330",62.64667,129.71333
ksar ghilane 020 **,2020,"quibili, tunisia",h6,96 g,"32.883190, 9.918920",32.88319,9.91892
