name,year,place,type,mass,coordinates,latitude,longitude
northwest africa 13750 **,2020,algeria,lodranite,573 g,,,
northwest africa 13753 **,2020,algeria,l5,1622 g,,,
northwest africa 13754 **,2020,(northwest africa),lodranite,1096 g,,,
northwest africa 13755 **,2020,mali,ll3,125 g,,,
northwest africa 13756 **,2020,niger,r4,201 g,,,
northwest africa 13757 **,2020,algeria,lunar (melt breccia),16.97 kg,,,
northwest africa 13760 **,2020,(northwest africa),iron,36.1 g,,,
northwest africa 13767,2020,(northwest africa),h5,6.66 kg,,,
northwest africa 13768 **,2020,(northwest africa),howardite,1680 g,,,
northwest africa 13769 **,2020,(northwest africa),co3,761 g,,,
northwest africa 13771 **,2020,(northwest africa),eucrite-melt breccia,121.4 g,,,
northwest africa 13772 **,2020,(northwest africa),l3,315 g,,,
northwest africa 13779 **,2020,(northwest africa),lunar (feldsp. breccia),80 g,,,
northwest africa 13780 **,2020,(northwest africa),l6-melt breccia,460 g,,,
northwest africa 13781,2020,(northwest africa),ll6,400 g,,,
northwest africa 13784 **,2020,(northwest africa),cv3-an,290 g,,,
northwest africa 13788 **,2020,"ouargla, algeria",lunar (melt breccia),2.6 kg,,,
northwest africa 13789 **,2020,(northwest africa),diogenite,1673 g,,,
northwest africa 13790 **,2020,(northwest africa),winonaite,838 g,,,
northwest africa 13791 **,2020,(northwest africa),achondrite-ung,142.6 g,,,
northwest africa 13792 **,2020,algeria,"iron, iiiab",4.54 kg,,,
northwest africa 13831 **,2020,algeria,l3,490 g,,,
northwest africa 13835 **,2020,(northwest africa),eucrite-unbr,106.2 g,,,
northwest africa 13836 **,2020,(northwest africa),eucrite-cm,1.85 g,,,
northwest africa 13837 **,2020,(northwest africa),lunar (troct),20.3 g,,,
northwest africa 13838,2020,(northwest africa),l5,276 g,,,
northwest africa 13839 **,2020,(northwest africa),acapulcoite,211 g,,,
northwest africa 13840,2020,(northwest africa),ll6,253 g,,,
northwest africa 13844 **,2020,(northwest africa),cm2,4.13 g,,,
northwest africa 13856 **,2020,algeria,achondrite-ung,374 g,,,
northwest africa 13857 **,2020,algeria,achondrite-ung,476 g,,,
northwest africa 13858 **,2020,algeria,mesosiderite,2.44 kg,,,
northwest africa 13860 **,2020,(northwest africa),ll6,16.2 g,,,
northwest africa 13861 **,2020,(northwest africa),eucrite-melt breccia,130 g,,,
northwest africa 13863 **,2020,(northwest africa),achondrite-ung,280 g,,,
northwest africa 13865 **,2020,mali,ll3,94 g,,,
northwest africa 13866 **,2020,morocco,l6,6.06 kg,,,
northwest africa 13867 **,2020,(northwest africa),co3,519 g,,,
northwest africa 13868 **,2020,algeria,ll3,880 g,,,
northwest africa 13874 **,2020,(northwest africa),l4,363 g,,,
northwest africa 13877 **,2020,(northwest africa),ck3,1025 g,,,
northwest africa 13884 **,2020,(northwest africa),martian (shergottite),4.11 g,,,
northwest africa 13886 **,2020,(northwest africa),co3,189 g,,,
northwest africa 13893 **,2020,morocco,ll-melt rock,75 g,,,
northwest africa 13894 **,2020,morocco,l5-melt breccia,890 g,,,
northwest africa 13898 **,2020,(northwest africa),diogenite-olivine,4.95 kg,,,
northwest africa 13901 **,2020,(northwest africa),ureilite,3.7 kg,,,
northwest africa 13902 **,2020,(northwest africa),diogenite,8.74 kg,,,
northwest africa 13905 **,2020,(northwest africa),l6,2.2 kg,,,
northwest africa 13908 **,2020,(northwest africa),lunar (melt breccia),1680 g,,,
northwest africa 13909 **,2020,(northwest africa),l3.15,987 g,,,
northwest africa 13911 **,2020,(northwest africa),l3,412 g,,,
northwest africa 13912 **,2020,(northwest africa),mesosiderite,11.85 kg,,,
northwest africa 13913 **,2020,(northwest africa),ck6,42 g,,,
northwest africa 13917 **,2020,(northwest africa),winonaite,5.2 kg,,,
northwest africa 13920 **,2020,(northwest africa),ll3-6,101 g,,,
northwest africa 13921 **,2020,(northwest africa),achondrite-ung,807 g,,,
northwest africa 13925 **,2020,(northwest africa),martian (shergottite),1250 g,,,
northwest africa 13927 **,2020,(northwest africa),aubrite,98 g,,,
northwest africa 13930 **,2020,algeria,lunar (feldsp. breccia),92 g,,,
northwest africa 13944 **,2020,(northwest africa),eucrite-pmict,226 g,,,
northwest africa 13954 **,2020,mauritania,achondrite-ung,4.5 kg,,,
northwest africa 13955 **,2020,algeria,achondrite-ung,1760 g,,,
northwest africa 13956 **,2020,algeria,ck5,98.4 g,,,
northwest africa 13959 **,2020,(northwest africa),l7-melt breccia,1855 g,,,
northwest africa 13962 **,2020,(northwest africa),ureilite,250 g,,,
northwest africa 13963 **,2020,(northwest africa),l6-an,271 g,,,
northwest africa 13965 **,2020,(northwest africa),martian (shergottite),1720 g,,,
northwest africa 13973 **,2020,(northwest africa),martian (shergottite),4.5 kg,,,
northwest africa 13981 **,2020,(northwest africa),eucrite-an,4.04 kg,,,
northwest africa 13982 **,2020,(northwest africa),r3-6,1535 g,,,
northwest africa 13983 **,2020,(northwest africa),diogenite-pm,1500 g,,,
northwest africa 13985 **,2020,(northwest africa),eucrite-pmict,312 g,,,
northwest africa 13986 **,2020,(northwest africa),winonaite,1845 g,,,
northwest africa 13987 **,2020,(northwest africa),ck4,1570 g,,,
northwest africa 13993 **,2020,(northwest africa),eucrite-br,807 g,,,
northwest africa 13997 **,2020,(northwest africa),ll3,123.9 g,,,
northwest africa 14001 **,2020,(northwest africa),ll4,25 g,,,
northwest africa 14003 **,2020,(northwest africa),h4,1950 g,,,
northwest africa 14004 **,2020,(northwest africa),cv3,1720 g,,,
northwest africa 14005 **,2020,algeria,lunar (feldsp. breccia),15 g,,,
northwest africa 14006 **,2020,(northwest africa),l4,15 kg,,,
northwest africa 14008 **,2020,morocco,l5,527 g,,,
northwest africa 14011 **,2020,mali,diogenite,5.01 kg,,,
northwest africa 14016 **,2020,(northwest africa),eucrite-melt breccia,29.4 kg,,,
northwest africa 14017 **,2020,(northwest africa),martian (shergottite),1665 g,,,
northwest africa 14028 **,2020,(northwest africa),eucrite-mmict,140 g,,,
northwest africa 14029 **,2020,(northwest africa),l5,117 g,,,
northwest africa 14030 **,2020,(northwest africa),l3-6,640 g,,,
northwest africa 14035 **,2020,(northwest africa),lunar (feldsp. breccia),189 g,,,
northwest africa 14038 **,2020,(northwest africa),ll3,2.07 kg,,,
northwest africa 14043 **,2020,(northwest africa),l4/5,1000 g,,,
northwest africa 14046 **,2020,algeria,howardite,219 g,,,
northwest africa 14047 **,2020,(northwest africa),martian (shergottite),1850 g,,,
northwest africa 14048 **,2020,(northwest africa),r4,354 g,,,
northwest africa 14049 **,2020,(northwest africa),diogenite-pm,1249 g,,,
northwest africa 14050 **,2020,(northwest africa),lunar (feldsp. breccia),69.6 g,,,
northwest africa 14051 **,2020,(northwest africa),c3-ung,9.5 g,,,
northwest africa 14052 **,2020,(northwest africa),c3-ung,8.8 g,,,
northwest africa 14053 **,2020,morocco,h6,6.18 kg,,,
northwest africa 14054 **,2020,morocco,el6,127 g,,,
northwest africa 14055 **,2020,morocco,l4,280 g,,,
northwest africa 14066 **,2020,(northwest africa),co3,129 g,,,
northwest africa 14068 **,2020,(northwest africa),el7,768 g,,,
northwest africa 14069 **,2020,(northwest africa),cvox3,1647 g,,,
northwest africa 14070 **,2020,(northwest africa),h4,880 g,,,
northwest africa 14072 **,2020,(northwest africa),ureilite,538 g,,,
northwest africa 14073 **,2020,(northwest africa),ck3,228 g,,,
northwest africa 14074 **,2020,(northwest africa),ll3,470 g,,,
northwest africa 14078 **,2020,(northwest africa),acapulcoite,25.1 g,,,
northwest africa 14079 **,2020,(northwest africa),h4,370 g,,,
northwest africa 14084 **,2020,(northwest africa),h5,4.42 kg,,,
northwest africa 14089 **,2020,algeria,eucrite,683 g,,,
northwest africa 14102 **,2020,morocco,eucrite-br,40.3 g,,,
northwest africa 14119 **,2020,(northwest africa),ck4,2.51 kg,,,
northwest africa 14133 **,2020,morocco,h5,2.06 kg,,,
northwest africa 14142 **,2020,(northwest africa),eucrite-unbr,480 g,,,
northwest africa 14145 **,2020,(northwest africa),ck4,170 g,,,
northwest africa 14146 **,2020,(northwest africa),eucrite-mmict-an,399 g,,,
northwest africa 14148 **,2020,(northwest africa),ck4,366 g,,,
northwest africa 14165,2020,(northwest africa),l6,219 g,,,
northwest africa 14171 **,2020,niger,l-melt rock,271 g,,,
northwest africa 14172 **,2020,mali,ck5,230 g,,,
northwest africa 14173 **,2020,mali,l4,458 g,,,
northwest africa 14176 **,2020,(northwest africa),eucrite-an,310 g,,,
northwest africa 14178 **,2020,(northwest africa),lunar (bas. breccia),440 g,,,
northwest africa 14179 **,2020,(northwest africa),c3-ung,265 g,,,
northwest africa 14184 **,2020,(northwest africa),l6,728 g,,,
northwest africa 14186 **,2020,mali,ll4,390 g,,,
northwest africa 14195 **,2020,(northwest africa),eucrite-pmict,773 g,,,
northwest africa 14201 **,2020,algeria,howardite,33 g,,,
northwest africa 14204 **,2020,(northwest africa),h5,300 g,,,
northwest africa 14209 **,2020,(northwest africa),eucrite-br,399 g,,,
northwest africa 14210 **,2020,(northwest africa),ck5,1200 g,,,
northwest africa 14215 **,2020,(northwest africa),l5,1100 g,,,
northwest africa 14239,2020,(northwest africa),l6,121 g,,,
northwest africa 14240 **,2020,(northwest africa),h6,7.45 kg,,,
northwest africa 14242 **,2020,(northwest africa),"iron, iab-ung",21 g,,,
northwest africa 14245 **,2020,morocco,eucrite,69.2 g,,,
northwest africa 14268 **,2020,algeria,ll5,417 g,,,
northwest africa 14270 **,2020,(northwest africa),achondrite-ung,20 g,,,
northwest africa 14273 **,2020,(northwest africa),achondrite-ung,1200 g,,,
northwest africa 14275 **,2020,algeria,h4,789 g,,,
northwest africa 14276 **,2020,morocco,l3-5,250 g,,,
northwest africa 14277 **,2020,morocco,l5,350 g,,,
northwest africa 14278 **,2020,morocco,l5-melt breccia,4.4 kg,,,
northwest africa 14280 **,2020,algeria,lunar (feldsp. breccia),26 g,,,
northwest africa 14283 **,2020,(northwest africa),"iron, iiab",650 g,,,
northwest africa 14284 **,2020,(northwest africa),"iron, iab-slh",178 g,,,
northwest africa 14285 **,2020,(northwest africa),"iron, iab-slh",383 g,,,
northwest africa 14296 **,2020,mali,l4,230 g,,,
northwest africa 14299,2020,(northwest africa),l6,1800 g,,,
northwest africa 14300,2020,(northwest africa),l5,152 g,,,
northwest africa 14301,2020,(northwest africa),h4,430 g,,,
northwest africa 14307,2020,morocco,l5,36.7 g,,,
northwest africa 14308,2020,morocco,l5,323 g,,,
northwest africa 14309,2020,morocco,l5,2.22 kg,,,
northwest africa 14310,2020,morocco,l6,42.4 g,,,
northwest africa 14311,2020,morocco,l5,400 g,,,
northwest africa 14317 **,2020,(northwest africa),co3,1450 g,,,
northwest africa 14342 **,2020,(northwest africa),eucrite-cm,161 g,,,
northwest africa 14343 **,2020,(northwest africa),ll6-melt breccia,652 g,,,
northwest africa 14356 **,2020,morocco,l5,31 g,,,
northwest africa 14357 **,2020,morocco,l3,24 g,,,
northwest africa 14377 **,2020,(northwest africa),h4,112 g,,,
northwest africa 14378 **,2020,(northwest africa),co3,1004 g,,,
northwest africa 14381 **,2020,(northwest africa),eucrite-unbr,2.86 kg,,,
northwest africa 14384 **,2020,(northwest africa),h4,290 g,,,
northwest africa 14386 **,2020,(northwest africa),eucrite-melt breccia,1268 g,,,
northwest africa 14387 **,2020,(northwest africa),ll3,902 g,,,
northwest africa 14391 **,2020,(northwest africa),h3,1494 g,,,
northwest africa 14411 **,2020,(northwest africa),winonaite,780 g,,,
northwest africa 14412 **,2020,(northwest africa),ck5,340 g,,,
northwest africa 14413,2020,(northwest africa),ll6,28 g,,,
northwest africa 14414 **,2020,(northwest africa),howardite,1035 g,,,
northwest africa 14415 **,2020,(northwest africa),lunar (feldsp. breccia),3.8 g,,,
northwest africa 14416 **,2020,(northwest africa),l4,167 g,,,
northwest africa 14417 **,2020,mauritania,cvoxb3,44.8 g,,,
northwest africa 14418 **,2020,(northwest africa),eucrite,482 g,,,
northwest africa 14457 **,2020,(northwest africa),l4/5-melt breccia,3.56 kg,,,
northwest africa 14466 **,2020,niger,h5/6,1489 g,,,
northwest africa 14467 **,2020,niger,h5/6,3.6 kg,,,
northwest africa 14484 **,2020,(northwest africa),h5,57 g,,,
northwest africa 14495 **,2020,(northwest africa),"iron, iva",289 g,,,
northwest africa 14506 **,2020,"tijirit, mauritania",l5,1070 g,,,
northwest africa 14507 **,2020,"binishab, mauritania",l6,443 g,,,
northwest africa 14522 **,2020,morocco,eucrite,5.5 kg,,,
northwest africa 14523 **,2020,morocco,lunar (feldsp. breccia),2.8 kg,,,
northwest africa 14525,2020,algeria,unknown,1500 g,,,
northwest africa 14527 **,2020,morocco,lunar (feldsp. breccia),38 g,,,
northwest africa 14529 **,2020,(northwest africa),"iron, ungrouped",53.2 g,,,
northwest africa 14555 **,2020,(northwest africa),l5,35 g,,,
northwest africa 14556 **,2020,(northwest africa),h5,25 g,,,
northwest africa 14557 **,2020,(northwest africa),l5,22 g,,,
northwest africa 14571 **,2020,(northwest africa),mesosiderite-a4,36.8 g,,,
northwest africa 14572 **,2020,(northwest africa),l-melt rock,10.7 g,,,
northwest africa 14573 **,2020,(northwest africa),mesosiderite-a3,153.5 g,,,
northwest africa 14590 **,2020,(northwest africa),l4/5,1330 g,,,
northwest africa 14610 **,2020,(northwest africa),l5,2.3 kg,,,
northwest africa 14622 **,2020,mali,cv3,2.15 kg,,,
northwest africa 14629 **,2020,(northwest africa),h5,9.18 kg,,,
northwest africa 14630 **,2020,(northwest africa),ck5,117 g,,,
northwest africa 14665 **,2020,(northwest africa),h5,3.6 kg,,,
northwest africa 14666 **,2020,mali,ureilite,1130 g,,,
northwest africa 14682 **,2020,(northwest africa),eucrite-unbr,14 kg,,,
northwest africa 14683 **,2020,(northwest africa),diogenite-olivine,5 kg,,,
northwest africa 14684 **,2020,(northwest africa),mesosiderite-a3,3 kg,,,
northwest africa 14685 **,2020,(northwest africa),lunar (frag. breccia),8 kg,,,
northwest africa 14686 **,2020,(northwest africa),lunar (frag. breccia),12 kg,,,
northwest africa 14687 **,2020,(northwest africa),lunar (frag. breccia),4.9 kg,,,
northwest africa 14798 **,2020,algeria,lunar (feldsp. breccia),356 g,,,
northwest africa 14801 **,2020,mauritania,diogenite-pm,43 g,,,
northwest africa 14802 **,2020,morocco,eucrite-br,122.1 g,,,
northwest africa 14913 **,2020,(northwest africa),l6,231 g,,,
northwest africa 14914 **,2020,(northwest africa),ck3,1150 g,,,
northwest africa 14923 **,2020,(northwest africa),h4,3 kg,,,
northwest africa 14939 **,2020,morocco,l5§,24.3 kg,,,
northwest africa 15034 **,2020,(northwest africa),l5,5.93 kg,,,
northwest africa 15035 **,2020,(northwest africa),h3,3.12 kg,,,
northwest africa 15115 **,2020,morocco,"iron, iab complex",126 g,,,
northwest africa 15122 **,2020,(northwest africa),h4,1154 g,,,
northwest africa 15124 **,2020,(northwest africa),h4,430 g,,,
northwest africa 15128 **,2020,(northwest africa),h4,134 g,,,
northwest africa 15159,2020,mauritania,l6§,1409 g,,,
northwest africa 15177 **,2020,mauritania,cvox3,42.5 g,,,
northwest africa 15206 **,2020,(northwest africa),h7,13 kg,,,
northwest africa 15258 **,2020,(northwest africa),eucrite-br,1054 g,,,
northwest africa 15321 **,2020,algeria,eucrite-mmict,257 g,,,
northwest africa 15334 **,2020,algeria,l5,8.35 kg,,,
northwest africa 15335 **,2020,algeria,r3,1195 g,,,
northwest africa 15336 **,2020,algeria,diogenite-pm,181.3 g,,,
northwest africa 15346 **,2020,western sahara,mesosiderite-b2,67.5 kg,,,
northwest africa 15352 **,2020,(northwest africa),lunar (feldsp. breccia),4.13 kg,,,
northwest africa 15374 **,2020,(northwest africa),lunar (melt breccia),1300 g,,,
northwest africa 15423 **,2020,algeria,eucrite-mmict,925 g,,,
northwest africa 15429 **,2020,algeria,ll3,968 g,,,
northwest africa 15431 **,2020,(northwest africa),lunar (frag. breccia),35 g,,,
northwest africa 15441 **,2020,(northwest africa),ll3,203 g,,,
northwest africa 15487 **,2020,(northwest africa),winonaite-an,23 g,,,
northwest africa 15493 **,2020,(northwest africa),ll3.05,425 g,,,
northwest africa 15497 **,2020,(northwest africa),martian (shergottite),11.9 g,,,
northwest africa 15592,2020,(northwest africa),h5,213 g,,,
northwest africa 15641 **,2020,(northwest africa),ck5-6,3.36 kg,,,
northwest africa 15646 **,2020,morocco,eucrite-unbr,5.81 kg,,,
northwest africa 15750 **,2020,(northwest africa),r4,515 g,,,
northwest africa 15766 **,2020,(northwest africa),ll6-melt breccia,287 g,,,
northwest africa 15785 **,2020,morocco,l4-melt breccia,632 g,,,
northwest africa 15819 **,2020,(northwest africa),co3,16.1 g,,,
northwest africa 15855 **,2020,"oued ed-dahab, western sahara",cv3,1788 g,,,
northwest africa 15856 **,2020,"ouargla, algeria",eucrite-pmict,530 g,,,
northwest africa 15917 **,2020,(northwest africa),martian (shergottite),222 g,,,
northwest africa 15932 **,2020,(northwest africa),eucrite-br,379 g,,,
northwest africa 15942 **,2020,(northwest africa),eucrite-melt breccia,657 g,,,
northwest africa 16004 **,2020,(northwest africa),eucrite-mmict,5 kg,,,
northwest africa 16023 **,2020,(northwest africa),h5§,620 g,,,
northwest africa 16042 **,2020,(northwest africa),r3-5,2.05 kg,,,
northwest africa 16045 **,2020,(northwest africa),lodranite,1925 g,,,
northwest africa 16090 **,2020,(northwest africa),ll3,525 g,,,
northwest africa 16178 **,2020,(northwest africa),h3-5,90 g,,,
northwest africa 16251 **,2020,(northwest africa),h5-melt breccia,3.95 kg,,,
northwest africa 16261 **,2020,(northwest africa),co3,562 g,,,
northwest africa 16297 **,2020,(northwest africa),h3,58 g,,,
northwest africa 16332 **,2020,(northwest africa),h6,10 g,,,
northwest africa 16349 **,2020,algeria,lunar (bas/gab brec),50 g,,,
northwest africa 16368 **,2020,(northwest africa),ll3-6,51 g,,,
northwest africa 16380,2020,(northwest africa),l6,208 g,,,
northwest africa 16381,2020,(northwest africa),h5,135 g,,,
northwest africa 16398 **,2020,(northwest africa),eucrite-melt breccia,2.07 kg,,,
northwest africa 16417 **,2020,(northwest africa),ll6,18 kg,,,
northwest africa 16427 **,2020,morocco,h5,500 g,,,
northwest africa 16433 **,2020,morocco,cv3,9.8 g,,,
northwest africa 16538 **,2020,(northwest africa),l6,762 g,,,
northwest africa 16569 **,2020,(northwest africa),c3-ung,351 g,,,
northwest africa 16666 **,2020,(northwest africa),l5,1700 g,,,
northwest africa 16667 **,2020,(northwest africa),l-melt rock,231 g,,,
northwest africa 16671 **,2020,(northwest africa),h3,122 g,,,
northwest africa 16680 **,2020,niger,eucrite-mmict,3.35 kg,,,
northwest africa 16681 **,2020,niger,diogenite,2.8 kg,,,
northwest africa 16699 **,2020,algeria,"iron, iiiab",4.06 kg,,,
northwest africa 16712 **,2020,(northwest africa),mesosiderite,880 g,,,
northwest africa 16819 **,2020,(northwest africa),cv3,190.8 g,,,
northwest africa 16821 **,2020,(northwest africa),cv3,900 g,,,
northwest africa 16832 **,2020,(northwest africa),h3,60 g,,,
northwest africa 16833,2020,(northwest africa),l6,37 g,,,
northwest africa 16841 **,2020,western sahara,eucrite,392 g,,,
northwest africa 16845 **,2020,morocco,diogenite-olivine,422 g,,,
northwest africa 16880 **,2020,niger,mesosiderite,191 g,,,
northwest africa 16892 **,2020,mali,eucrite-mmict,5 kg,,,
northwest africa 17020 **,2020,(northwest africa),h3-6,4 kg,,,
northwest africa 17283 **,2020,(northwest africa),ll4-5,1683 g,,,
nova 066 **,2020,(unknown),l4,69.1 g,,,
novo mesto **,2020,slovenia,l5,720 g,"45.816830, 15.112500",45.81683,15.1125
outer recovery icefields 19111 **,2020,antarctica,h5,18.9 g,"-81.469820, -17.997370",-81.46982,-17.99737
outer recovery icefields 19109 **,2020,antarctica,h6,141.3 g,"-81.471520, -17.985330",-81.47152,-17.98533
outer recovery icefields 19104 **,2020,antarctica,l6,286 g,"-81.489630, -17.939780",-81.48963,-17.93978
outer recovery icefields 19137 **,2020,antarctica,h6,5.8 g,"-81.563070, -17.540400",-81.56307,-17.5404
outer recovery icefields 19106 **,2020,antarctica,h6,2.93 g,"-81.488220, -17.959850",-81.48822,-17.95985
outer recovery icefields 19135 **,2020,antarctica,ll6,39.6 g,"-81.445880, -17.744650",-81.44588,-17.74465
outer recovery icefields 19128 **,2020,antarctica,h4,176.9 g,"-81.575270, -17.491200",-81.57527,-17.4912
outer recovery icefields 19138 **,2020,antarctica,l6,26.6 g,"-81.560670, -17.491300",-81.56067,-17.4913
outer recovery icefields 19124 **,2020,antarctica,co3,35 g,"-81.518130, -17.866770",-81.51813,-17.86677
outer recovery icefields 19127 **,2020,antarctica,h5,6.1 g,"-81.572500, -17.452180",-81.5725,-17.45218
outer recovery icefields 19132 **,2020,antarctica,l5,37.7 g,"-81.580300, -17.445630",-81.5803,-17.44563
outer recovery icefields 19115 **,2020,antarctica,h5,60.1 g,"-81.416200, -18.107280",-81.4162,-18.10728
outer recovery icefields 19113 **,2020,antarctica,h5,18.3 g,"-81.484920, -17.997720",-81.48492,-17.99772
outer recovery icefields 19110 **,2020,antarctica,h6,32.5 g,"-81.469820, -17.995120",-81.46982,-17.99512
outer recovery icefields 19117 **,2020,antarctica,h6,4.16 g,"-81.484070, -17.966250",-81.48407,-17.96625
outer recovery icefields 19102 **,2020,antarctica,mesosiderite,132 g,"-81.497150, -17.951400",-81.49715,-17.9514
outer recovery icefields 19130 **,2020,antarctica,h4,8.6 g,"-81.574180, -17.457920",-81.57418,-17.45792
outer recovery icefields 19125 **,2020,antarctica,l5,0.14 g,"-81.520420, -17.807920",-81.52042,-17.80792
outer recovery icefields 19133 **,2020,antarctica,l5,15.4 g,"-81.584470, -17.471630",-81.58447,-17.47163
outer recovery icefields 19120 **,2020,antarctica,h6,236 g,"-81.527720, -17.828870",-81.52772,-17.82887
outer recovery icefields 19139 **,2020,antarctica,cm2,65.4 g,"-81.560350, -17.531850",-81.56035,-17.53185
outer recovery icefields 19118 **,2020,antarctica,l6,70.4 g,"-81.482280, -17.948170",-81.48228,-17.94817
outer recovery icefields 19103 **,2020,antarctica,h6,28.3 g,"-81.492050, -17.953100",-81.49205,-17.9531
outer recovery icefields 19126 **,2020,antarctica,h5,75.3 g,"-81.523700, -17.833070",-81.5237,-17.83307
outer recovery icefields 19105 **,2020,antarctica,h6,1.45 g,"-81.489550, -17.958600",-81.48955,-17.9586
outer recovery icefields 19131 **,2020,antarctica,ll6,941 g,"-81.579100, -17.466820",-81.5791,-17.46682
outer recovery icefields 19119 **,2020,antarctica,h5,2.19 kg,"-81.525650, -17.817220",-81.52565,-17.81722
outer recovery icefields 19107 **,2020,antarctica,h6,0.83 g,"-81.487680, -17.968180",-81.48768,-17.96818
outer recovery icefields 19122 **,2020,antarctica,l6,25.3 g,"-81.516880, -17.836270",-81.51688,-17.83627
outer recovery icefields 19136 **,2020,antarctica,h4,7.3 g,"-81.562820, -17.537420",-81.56282,-17.53742
outer recovery icefields 19108 **,2020,antarctica,h5,23.9 g,"-81.481450, -18.019880",-81.48145,-18.01988
outer recovery icefields 19129 **,2020,antarctica,h6,116.1 g,"-81.573350, -17.441820",-81.57335,-17.44182
paposo 081,2020,"antofagasta, chile",l6§,210 g,"-24.951940, -70.041390",-24.95194,-70.04139
plateau du tademait 007 **,2020,"adrar, algeria",howardite,102 g,"28.843000, 1.193000",28.843,1.193
qara **,2020,"north-eastern, kenya","iron, iiab",19.95 kg,"2.067180, 39.016930",2.06718,39.01693
qatar 017,2020,"jarayan al batnah, qatar",h5,30 kg,"24.868500, 51.052330",24.8685,51.05233
qued mya 002 **,2020,"ouargla, algeria",cm2,127.4 g,"30.140390, 4.093440",30.14039,4.09344
rabt sbayta 013 **,2020,"rio de oro, western sahara",ll6,380 g,"24.226110, -14.635280",24.22611,-14.63528
ramlat fasad 573,2020,oman,unknown,59.7 g,"19.174130, 53.946920",19.17413,53.94692
ramlat fasad 600 **,2020,"zufar, oman",lunar (melt breccia),59.5 g,"19.285380, 53.861670",19.28538,53.86167
ramlat fasad 601 **,2020,"zufar, oman",el3-6,16.54 kg,"19.261670, 53.928330",19.26167,53.92833
ramlat fasad 602,2020,"zufar, oman",h6,32.7 g,"19.249700, 53.979150",19.2497,53.97915
ramlat fasad 603,2020,"zufar, oman",h5,13.7 g,"19.258950, 53.971570",19.25895,53.97157
ramlat fasad 604,2020,"zufar, oman",h5,55.8 g,"19.261780, 53.972380",19.26178,53.97238
ramlat fasad 605,2020,"zufar, oman",l5,79.4 g,"19.259700, 53.947300",19.2597,53.9473
ramlat fasad 606,2020,"zufar, oman",l5,30.9 g,"19.259230, 53.946030",19.25923,53.94603
ramlat fasad 607,2020,"zufar, oman",l5,13.3 g,"19.257350, 53.924380",19.25735,53.92438
ramlat fasad 608,2020,"zufar, oman",h5,35.1 g,"19.256720, 53.924970",19.25672,53.92497
ramlat fasad 609,2020,"zufar, oman",l5,383 g,"19.277350, 53.918070",19.27735,53.91807
ramlat fasad 610,2020,"zufar, oman",h5,145.9 g,"19.267470, 53.899880",19.26747,53.89988
ramlat fasad 611,2020,"zufar, oman",h6,27.5 g,"19.268900, 53.898130",19.2689,53.89813
robbers roost **,2020,"california, usa",h4,161 g,"35.555000, -118.026670",35.555,-118.02667
santa filomena **,2020,"pernambuco, brazil",h5-6,80 kg,"-8.162680, -40.614040",-8.16268,-40.61404
sarir tazirbu 001 **,2020,"al kufrah, libya",c2-ung,18.1 g,"25.845000, 20.698000",25.845,20.698
socorro **,2020,"pernambuco, brazil",martian (shergottite),4.47 kg,"-8.125560, -40.517220",-8.12556,-40.51722
swayyah 003 **,2020,western sahara,lunar (feldsp. breccia),208 g,"26.470000, -8.760000",26.47,-8.76
talrhaïcht 001 **,2020,morocco,ll6-melt breccia,151 g,"28.889720, -8.747220",28.88972,-8.74722
talsint 002 **,2020,morocco,eucrite,9.37 kg,"32.874080, -3.578720",32.87408,-3.57872
tanezrouft 091 **,2020,"adrar, algeria",mesosiderite,4.99 kg,"24.264170, -0.160670",24.26417,-0.16067
tarda **,2020,morocco,c2-ung,4 kg,"31.826500, -4.679400",31.8265,-4.6794
telakoast 001 **,2020,"tamanghasset, algeria",c3-ung,60 g,"27.261580, 5.357340",27.26158,5.35734
tihigrin **,2020,"gao, mali",l4,6.53 kg,"16.720000, -3.729000",16.72,-3.729
tin-essako 002 **,2020,"gao, mali","iron, iiiab",32 kg,"18.466670, 1.600000",18.46667,1.6
tindouf 006 **,2020,"tindouf, algeria",eucrite,310 g,"27.374060, -7.770920",27.37406,-7.77092
tindouf 007 **,2020,"tindouf, algeria","iron, iab complex",1979 g,"27.950000, -7.946330",27.95,-7.94633
tiros **,2020,"minas gerais, brazil",howardite,400 g,"-18.910290, -45.819480",-18.91029,-45.81948
toksun 001 **,2020,"xinjiang, china",ll6/7,16 kg,"42.693920, 88.618820",42.69392,88.61882
touat 005 **,2020,"adrar, algeria",lunar (feldsp. breccia),3.71 kg,"27.747220, -1.369720",27.74722,-1.36972
touat 007 **,2020,"adrar, algeria","iron, iiiab",1594 g,"27.526000, -0.367730",27.526,-0.36773
tumxuk 001 **,2020,"xinjiang, china",h~5§,23.9 g,"39.444670, 79.694830",39.44467,79.69483
tumxuk 002 **,2020,"xinjiang, china",h6§,22.2 g,"39.444670, 79.694830",39.44467,79.69483
tuya 008 **,2020,"xinjiang, china","iron, iiiab",840 g,"40.686000, 91.982000",40.686,91.982
twayla 002 **,2020,"saguia el hamra, western sahara","iron, iiiab",13.78 kg,"26.743330, -9.701380",26.74333,-9.70138
utting **,2020,"arizona, usa",h4,2.2 kg,"33.986670, -114.001670",33.98667,-114.00167
