Name,Abbrev,Status,Fall,Year,Place,Type,Mass,MetBull,Antarctic,"(Lat,Long)",,
Yamato 790903,Y-790903,Official,,1979,Antarctica,LL6,1.89 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790904,Y-790904,Official,,1979,Antarctica,LL6,1.79 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790905,Y-790905,Official,,1979,Antarctica,LL6,2.49 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790906,Y-790906,Official,,1979,Antarctica,LL6,1.4 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790907,Y-790907,Official,,1979,Antarctica,LL6,1.92 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790908,Y-790908,Official,,1979,Antarctica,LL6,2.18 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790909,Y-790909,Official,,1979,Antarctica,LL6,1.98 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790910,Y-790910,Official,,1979,Antarctica,LL6,2.16 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790911,Y-790911,Official,,1979,Antarctica,LL6,1.69 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790912,Y-790912,Official,,1979,Antarctica,LL6,1.09 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790913,Y-790913,Official,,1979,Antarctica,LL6,1.89 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790914,Y-790914,Official,,1979,Antarctica,LL6,2.58 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790915,Y-790915,Official,,1979,Antarctica,LL6,2.4 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790916,Y-790916,Official,,1979,Antarctica,LL6,1.94 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790917,Y-790917,Official,,1979,Antarctica,LL6,1.16 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790918,Y-790918,Official,,1979,Antarctica,LL6,2.37 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790919,Y-790919,Official,,1979,Antarctica,LL6,1.41 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790920,Y-790920,Official,,1979,Antarctica,LL6,1.81 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790921,Y-790921,Official,,1979,Antarctica,LL6,2.25 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790922,Y-790922,Official,,1979,Antarctica,LL6,1.91 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790923,Y-790923,Official,,1979,Antarctica,LL6,1.59 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790924,Y-790924,Official,,1979,Antarctica,LL6,1.68 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790925,Y-790925,Official,,1979,Antarctica,LL6,1.37 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790926,Y-790926,Official,,1979,Antarctica,LL6,1.3 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790927,Y-790927,Official,,1979,Antarctica,LL6,1.29 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790928,Y-790928,Official,,1979,Antarctica,LL6,1.59 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790929,Y-790929,Official,,1979,Antarctica,LL6,1.29 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790930,Y-790930,Official,,1979,Antarctica,LL6,1.81 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790931,Y-790931,Official,,1979,Antarctica,LL6,0.94 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790932,Y-790932,Official,,1979,Antarctica,LL6,1.17 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790933,Y-790933,Official,,1979,Antarctica,LL6,1.11 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790934,Y-790934,Official,,1979,Antarctica,LL6,0.96 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790935,Y-790935,Official,,1979,Antarctica,LL6,1.38 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790936,Y-790936,Official,,1979,Antarctica,LL6,1 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790937,Y-790937,Official,,1979,Antarctica,LL6,0.85 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790938,Y-790938,Official,,1979,Antarctica,LL6,1.37 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790939,Y-790939,Official,,1979,Antarctica,LL6,1.3 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790940,Y-790940,Official,,1979,Antarctica,LL6,0.85 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790941,Y-790941,Official,,1979,Antarctica,LL6,0.85 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790942,Y-790942,Official,,1979,Antarctica,LL6,38.6 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790943,Y-790943,Official,,1979,Antarctica,LL6,3.61 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790944,Y-790944,Official,,1979,Antarctica,H4,12.1 g,,J6(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790945,Y-790945,Official,,1979,Antarctica,L6,78.5 g,104,J24 NIPR,,,
Yamato 790946,Y-790946,Official,,1979,Antarctica,L6,2.51 kg,,J6(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790947,Y-790947,Official,,1979,Antarctica,L6,344 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790948,Y-790948,Official,,1979,Antarctica,L6,107.7 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790949,Y-790949,Official,,1979,Antarctica,L6,32.6 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790950,Y-790950,Official,,1979,Antarctica,L6,15.4 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790951,Y-790951,Provisional,,1979,Antarctica,Stone-uncl,3.19 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790952,Y-790952,Official,,1979,Antarctica,H4,8.3 g,,J6(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790953,Y-790953,Official,,1979,Antarctica,H4,4.63 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790954,Y-790954,Official,,1979,Antarctica,H4,4.6 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790955,Y-790955,Provisional,,1979,Antarctica,Stone-uncl,,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790956,Y-790956,Provisional,,1979,Antarctica,Stone-uncl,8.4 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790957,Y-790957,Official,,1979,Antarctica,L5/6,6.18 kg,,J6(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790958,Y-790958,Provisional,,1979,Antarctica,Stone-uncl,68.3 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790959,Y-790959,Official,,1979,Antarctica,L6,578 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790960,Y-790960,Official,,1979,Antarctica,H7,20.8 g,,J6(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790961,Y-790961,Provisional,,1979,Antarctica,Stone-uncl,19.3 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790962,Y-790962,Official,,1979,Antarctica,H3/4,0.92 g,,J6(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790963,Y-790963,Official,,1979,Antarctica,H3/4,40.3 g,,J6(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790964,Y-790964,Official,,1979,Antarctica,LL,3.34 kg,,J1(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790965,Y-790965,Official,,1979,Antarctica,L4,78.8 g,,J6(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790966,Y-790966,Provisional,,1979,Antarctica,Stone-uncl,2.04 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790967,Y-790967,Provisional,,1979,Antarctica,Stone-uncl,3.17 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790968,Y-790968,Provisional,,1979,Antarctica,Stone-uncl,23.8 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790969,Y-790969,Official,,1979,Antarctica,L6,9.6 g,,J6(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790970,Y-790970,Provisional,,1979,Antarctica,Stone-uncl,5.7 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790971,Y-790971,Official,,1979,Antarctica,H5,8.7 g,,J6(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790972,Y-790972,Official,,1979,Antarctica,H4/5,16.5 g,,J6(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790973,Y-790973,Official,,1979,Antarctica,H4/5,17.1 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790974,Y-790974,Official,,1979,Antarctica,H4/5,9.5 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790975,Y-790975,Official,,1979,Antarctica,LL6,18.5 g,,J6(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790976,Y-790976,Official,,1979,Antarctica,LL6,8.7 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790977,Y-790977,Official,,1979,Antarctica,LL6,7.3 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790978,Y-790978,Official,,1979,Antarctica,LL6,3.39 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790979,Y-790979,Official,,1979,Antarctica,LL6,2.4 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790980,Y-790980,Official,,1979,Antarctica,H4,95.6 g,,J6(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790981 **,Y-790981,Official,,1979,Antarctica,Ureilite,213 g,,J1(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790982,Y-790982,Official,,1979,Antarctica,LL6,88.6 g,,J6(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790983,Y-790983,Official,,1979,Antarctica,L6,23 g,,J6(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790984,Y-790984,Provisional,,1979,Antarctica,Stone-uncl,8.2 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790985,Y-790985,Official,,1979,Antarctica,H4,189.6 g,,J6(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790986,Y-790986,Official,,1979,Antarctica,H3.7,135.8 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790987,Y-790987,Official,,1979,Antarctica,H4,199.2 g,,J6(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790988,Y-790988,Doubtful,,1979,Antarctica,Doubtful meteorite,1.32 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790989,Y-790989,Provisional,,1979,Antarctica,Stone-uncl,15.7 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790990,Y-790990,Official,,1979,Antarctica,L5,59.9 g,,J6(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790991 **,Y-790991,Official,,1979,Antarctica,Howardite,30.8 g,,J6(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790992,Y-790992,Official,,1979,Antarctica,CO3.5,163 g,,J6(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790993,Y-790993,Official,,1979,Antarctica,L6,81.6 g,,J6(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790994,Y-790994,Official,,1979,Antarctica,L3.6,49.5 g,,J6(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790995,Y-790995,Official,,1979,Antarctica,H4,4.32 g,,J6(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790996,Y-790996,Official,,1979,Antarctica,H4,78.7 g,,J6(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790997,Y-790997,Official,,1979,Antarctica,H5,177.9 g,,J6(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790998,Y-790998,Official,,1979,Antarctica,H4,18.2 g,,J6(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790999,Y-790999,Official,,1979,Antarctica,L6,154.3 g,,J6(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791000 **,Y-791000,Official,,1979,Antarctica,Diogenite,90.4 g,,J6(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791001,Y-791001,Official,,1979,Antarctica,L5,290 g,,J1(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791002,Y-791002,Official,,1979,Antarctica,L6,91.9 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791003,Y-791003,Official,,1979,Antarctica,H5,24.5 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791004,Y-791004,Official,,1979,Antarctica,H6,225 g,,J1(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791005,Y-791005,Official,,1979,Antarctica,H5,11.2 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791006,Y-791006,Official,,1979,Antarctica,H5,25.2 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791007,Y-791007,Official,,1979,Antarctica,H5,147.2 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791008,Y-791008,Official,,1979,Antarctica,L6,117.2 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791009,Y-791009,Official,,1979,Antarctica,H5,42.1 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791010,Y-791010,Official,,1979,Antarctica,H5,73.2 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791011,Y-791011,Official,,1979,Antarctica,H4,4.02 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791012,Y-791012,Official,,1979,Antarctica,H4,14.6 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791013,Y-791013,Official,,1979,Antarctica,H4,5.1 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791014,Y-791014,Official,,1979,Antarctica,L3/4,6.4 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791015,Y-791015,Official,,1979,Antarctica,H6,4.74 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791016,Y-791016,Official,,1979,Antarctica,L6,4.34 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791017,Y-791017,Official,,1979,Antarctica,H5,10.7 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791018,Y-791018,Official,,1979,Antarctica,L6,7.2 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791019,Y-791019,Official,,1979,Antarctica,H5/6,18.3 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791020,Y-791020,Official,,1979,Antarctica,H4/5,288 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791021,Y-791021,Official,,1979,Antarctica,H4/5,5.5 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791022,Y-791022,Official,,1979,Antarctica,L6,223 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791023,Y-791023,Official,,1979,Antarctica,L6,5.5 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791024,Y-791024,Official,,1979,Antarctica,H4,354 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791025,Y-791025,Official,,1979,Antarctica,H4/5,106.8 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791026,Y-791026,Official,,1979,Antarctica,H4,355 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791027,Y-791027,Official,,1979,Antarctica,H5,646 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791028,Y-791028,Official,,1979,Antarctica,H5,1053 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791029,Y-791029,Official,,1979,Antarctica,H5,108.8 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791030,Y-791030,Official,,1979,Antarctica,H5,43.2 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791031,Y-791031,Official,,1979,Antarctica,H5,13.2 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791032,Y-791032,Official,,1979,Antarctica,H5,6.6 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791033,Y-791033,Official,,1979,Antarctica,H5,4.19 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791034,Y-791034,Official,,1979,Antarctica,L5/6,173.2 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791035,Y-791035,Official,,1979,Antarctica,L4,6.6 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791036,Y-791036,Official,,1979,Antarctica,H4/5,122.8 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791037,Y-791037,Official,,1979,Antarctica,H5,11.8 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791038,Y-791038,Official,,1979,Antarctica,H3,26.3 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791039,Y-791039,Official,,1979,Antarctica,H4,8.2 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791040,Y-791040,Official,,1979,Antarctica,L5/6,14.9 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791041,Y-791041,Official,,1979,Antarctica,H5,62.8 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791042,Y-791042,Official,,1979,Antarctica,H4/5,95.1 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791043,Y-791043,Official,,1979,Antarctica,H6,23.3 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791044,Y-791044,Provisional,,1979,Antarctica,Stone-uncl,4.26 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791045,Y-791045,Official,,1979,Antarctica,H5,20.3 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791046,Y-791046,Official,,1979,Antarctica,H5,10.6 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791047,Y-791047,Official,,1979,Antarctica,H3.8,163.4 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791048,Y-791048,Official,,1979,Antarctica,H6,206 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791049,Y-791049,Official,,1979,Antarctica,Eucrite,8.7 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791050,Y-791050,Official,,1979,Antarctica,H6,11.1 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791051,Y-791051,Doubtful,,1979,Antarctica,Doubtful meteorite,0.45 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791052,Y-791052,Official,,1979,Antarctica,H3,4.55 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791053,Y-791053,Official,,1979,Antarctica,H5,27 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791054,Y-791054,Official,,1979,Antarctica,H4/5,13.6 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791055,Y-791055,Official,,1979,Antarctica,H4/5,19.1 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791056,Y-791056,Official,,1979,Antarctica,H6,38.3 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791057,Y-791057,Official,,1979,Antarctica,H3.7,66.7 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791058,Y-791058,Official,,1979,Antarctica,Winonaite,19.5 g,,J9(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791059,Y-791059,Official,,1979,Antarctica,H6,12.3 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791060,Y-791060,Official,,1979,Antarctica,H5/6,8.7 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791061,Y-791061,Official,,1979,Antarctica,L6,10.4 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791062,Y-791062,Official,,1979,Antarctica,L5/6,7.5 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791063,Y-791063,Provisional,,1979,Antarctica,Stone-uncl,1.67 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791064,Y-791064,Official,,1979,Antarctica,Howardite,12.9 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791065,Y-791065,Official,,1979,Antarctica,H6,9.6 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791066,Y-791066,Official,,1979,Antarctica,H6,9.3 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791067,Y-791067,Official,,1979,Antarctica,LL7,235 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791068,Y-791068,Official,,1979,Antarctica,H5,18.1 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791069,Y-791069,Official,,1979,Antarctica,H5/6,114.5 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791070,Y-791070,Official,,1979,Antarctica,H6,5.6 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791071,Y-791071,Official,,1979,Antarctica,L6,10.2 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791072,Y-791072,Official,,1979,Antarctica,Diogenite,11.4 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791073,Y-791073,Official,,1979,Antarctica,Diogenite,33.1 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791074,Y-791074,Official,,1979,Antarctica,Howardite,27.2 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791075,Y-791075,Official,,1979,Antarctica,H4,9.9 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791076,Y-791076,Official,,1979,Antarctica,"Iron, ungrouped",332 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791077,Y-791077,Official,,1979,Antarctica,L6,77.9 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791078,Y-791078,Official,,1979,Antarctica,H4,37 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791079,Y-791079,Official,,1979,Antarctica,L5/6,59.1 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791080,Y-791080,Official,,1979,Antarctica,L6,109.2 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791081,Y-791081,Official,,1979,Antarctica,L5/6,50.1 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791082,Y-791082,Official,,1979,Antarctica,LL6,2.1 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791083,Y-791083,Official,,1979,Antarctica,L6,5.3 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791084,Y-791084,Official,,1979,Antarctica,LL6,11.6 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791085,Y-791085,Official,,1979,Antarctica,H4,22.1 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791086,Y-791086,Official,,1979,Antarctica,L6,2.16 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791087,Y-791087,Official,,1979,Antarctica,H3.7,580 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791088,Y-791088,Official,,1979,Antarctica,H6,2.14 kg,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791089,Y-791089,Official,,1979,Antarctica,H5,4.77 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791090,Y-791090,Official,,1979,Antarctica,H5,81.4 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791091,Y-791091,Official,,1979,Antarctica,L6,177.9 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791092,Y-791092,Official,,1979,Antarctica,H4,4.21 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791093,Y-791093,Official,,1979,Antarctica,"Iron, IIE-an",4.12 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791094,Y-791094,Official,,1979,Antarctica,H4,1.17 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791095,Y-791095,Official,,1979,Antarctica,H4,1.4 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791096,Y-791096,Official,,1979,Antarctica,H4,75.6 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791097,Y-791097,Official,,1979,Antarctica,H4,25.4 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791098,Y-791098,Official,,1979,Antarctica,H4,20.3 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791099,Y-791099,Official,,1979,Antarctica,LL5/6,13.2 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791100,Y-791100,Official,,1979,Antarctica,LL5/6,9.4 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791101,Y-791101,Official,,1979,Antarctica,LL5/6,8.1 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791102,Y-791102,Official,,1979,Antarctica,LL5/6,5.6 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791103,Y-791103,Official,,1979,Antarctica,LL5/6,4.23 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791104,Y-791104,Official,,1979,Antarctica,LL5/6,3.39 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791105,Y-791105,Official,,1979,Antarctica,H4,15.2 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791106,Y-791106,Official,,1979,Antarctica,H6,410 g,,J1(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791107,Y-791107,Official,,1979,Antarctica,L5,284 g,,J1(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791108,Y-791108,Official,,1979,Antarctica,LL5/6,215 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791109,Y-791109,Official,,1979,Antarctica,LL5/6,33.6 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791110,Y-791110,Official,,1979,Antarctica,LL5/6,34.5 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791111,Y-791111,Official,,1979,Antarctica,LL5/6,20 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791112,Y-791112,Official,,1979,Antarctica,LL5/6,10.1 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791113,Y-791113,Official,,1979,Antarctica,H3,13.1 g,,J7(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791114,Y-791114,Official,,1979,Antarctica,LL5/6,12.8 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791115,Y-791115,Official,,1979,Antarctica,LL5/6,9.1 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 791116,Y-791116,Official,,1979,Antarctica,LL5/6,10.1 g,, NIPR,"(-71.500000, 35.666670)  ",,
