Name,Abbrev,Status,Fall,Year,Place,Type,Mass,MetBull,Antarctic,"(Lat,Long)"
Al Huqf 067,AH 067,Official,,2009,"Al Wusta, Oman",H4,61.6 g,101,,"(19.225970, 57.540630)  "
Al Huqf 068,AH 068,Official,,2009,"Al Wusta, Oman",L3,165.4 g,101,,"(19.140250, 57.584270)  "
Al Huqf 069,AH 069,Official,,2009,"Al Wusta, Oman",H4/5,251 g,101,,"(19.267950, 57.134120)  "
Al Huqf 070,AH 070,Official,,2009,"Al Wusta, Oman",L4,2.63 kg,101,,"(19.187980, 57.109780)  "
Al Huwaysah 001,,Official,,2009,"Az Zahirah, Oman",LL6,3.15 kg,100,,"(22.804870, 55.327420)  "
Al Huwaysah 002,,Official,,2009,"Az Zahirah, Oman",LL6,691 g,100,,"(22.798530, 55.316730)  "
Al Jawf 001 **,AJ 001,Official,,2009,"Al Jawf, Saudi Arabia",H4-5,3.16 kg,103,,"(29.742830, 39.788820)  "
Allan Hills 09001,ALH 09001,Official,,2009,Antarctica,L5/6,0.5 g,100, PNRA,"(-76.744030, 159.372380)  "
Allan Hills 09002,ALH 09002,Official,,2009,Antarctica,L6,71.6 g,100, PNRA,"(-76.742450, 159.374580)  "
Allan Hills 09003,ALH 09003,Official,,2009,Antarctica,L6,15.5 g,100, PNRA,"(-76.742450, 159.374580)  "
Allan Hills 09004 **,ALH 09004,Official,,2009,Antarctica,Howardite,222 g,99,33(2) ANSMET,
Allan Hills 09005,ALH 09005,Official,,2009,Antarctica,L5¶,122.3 g,101,35(2) ANSMET,
Allan Hills 09006,ALH 09006,Official,,2009,Antarctica,H5¶,104.3 g,101,35(2) ANSMET,
Allan Hills 09008,ALH 09008,Official,,2009,Antarctica,H5¶,31.3 g,101,35(2) ANSMET,
Allan Hills 09009,ALH 09009,Official,,2009,Antarctica,L6¶,24.8 g,101,35(2) ANSMET,
Allan Hills 09010 **,ALH 09010,Official,,2009,Antarctica,L3.4,2.6 g,101,35(2) ANSMET,
Allan Hills 09011,ALH 09011,Official,,2009,Antarctica,LL6¶,14.2 g,101,35(2) ANSMET,
Allan Hills 09012,ALH 09012,Official,,2009,Antarctica,L6¶,18.1 g,101,35(2) ANSMET,
Allan Hills 09013,ALH 09013,Official,,2009,Antarctica,L6¶,25.5 g,101,35(2) ANSMET,
Allan Hills 09014,ALH 09014,Official,,2009,Antarctica,L5¶,30.2 g,101,35(2) ANSMET,
Ash Creek **,,Official,Y,2009,"Texas, USA",L6,9.5 kg,96,,"(31.805000, -97.010000)  "
Asuka 09001,A 09001,Official,,2009,Antarctica,H4,1.01 g,103,J23 NIPR-RBINS,
Asuka 09002,A 09002,Official,,2009,Antarctica,H4,1.71 g,103,J23 NIPR-RBINS,
Asuka 09004,A 09004,Official,,2009,Antarctica,H5,2.19 g,103,J23 NIPR-RBINS,
Asuka 09005,A 09005,Official,,2009,Antarctica,H6,1.38 g,103,J23 NIPR-RBINS,
Asuka 09006,A 09006,Official,,2009,Antarctica,H6,1.25 g,103,J23 NIPR-RBINS,
Asuka 09007,A 09007,Official,,2009,Antarctica,H6,11.8 g,103,J23 NIPR-RBINS,
Asuka 09008,A 09008,Official,,2009,Antarctica,H6,7.1 g,103,J23 NIPR-RBINS,
Asuka 09009,A 09009,Official,,2009,Antarctica,H6,5.2 g,103,J23 NIPR-RBINS,
Asuka 09010,A 09010,Official,,2009,Antarctica,H6,6.5 g,103,J23 NIPR-RBINS,
Asuka 09011,A 09011,Official,,2009,Antarctica,H6,2.55 g,103,J23 NIPR-RBINS,
Asuka 09012,A 09012,Official,,2009,Antarctica,H6,4.19 g,103,J23 NIPR-RBINS,
Asuka 09013,A 09013,Official,,2009,Antarctica,H6,2.89 g,103,J23 NIPR-RBINS,
Asuka 09014,A 09014,Official,,2009,Antarctica,H6,2.2 g,103,J23 NIPR-RBINS,
Asuka 09015,A 09015,Official,,2009,Antarctica,H6,3.45 g,103,J23 NIPR-RBINS,
Asuka 09016,A 09016,Official,,2009,Antarctica,H6,2.58 g,103,J23 NIPR-RBINS,
Asuka 09017,A 09017,Official,,2009,Antarctica,H6,2.46 g,103,J23 NIPR-RBINS,
Asuka 09018,A 09018,Official,,2009,Antarctica,H6,1.95 g,103,J23 NIPR-RBINS,
Asuka 09019,A 09019,Official,,2009,Antarctica,L3,2.14 g,103,J23 NIPR-RBINS,
Asuka 09020,A 09020,Official,,2009,Antarctica,H6,1.4 g,103,J23 NIPR-RBINS,
Asuka 09021,A 09021,Official,,2009,Antarctica,H6,1.44 g,103,J23 NIPR-RBINS,
Asuka 09022,A 09022,Official,,2009,Antarctica,H6,1.08 g,103,J23 NIPR-RBINS,
Asuka 09023,A 09023,Official,,2009,Antarctica,H6,1.69 g,103,J23 NIPR-RBINS,
Asuka 09024,A 09024,Official,,2009,Antarctica,H6,1.11 g,103,J23 NIPR-RBINS,
Asuka 09025,A 09025,Official,,2009,Antarctica,H6,1.41 g,103,J23 NIPR-RBINS,
Asuka 09026,A 09026,Official,,2009,Antarctica,H6,1.88 g,103,J23 NIPR-RBINS,
Asuka 09027,A 09027,Official,,2009,Antarctica,H6,1.01 g,103,J23 NIPR-RBINS,
Asuka 09028,A 09028,Official,,2009,Antarctica,H6,1.24 g,103,J23 NIPR-RBINS,
Asuka 09029,A 09029,Official,,2009,Antarctica,H6,1.43 g,103,J23 NIPR-RBINS,
Asuka 09030,A 09030,Official,,2009,Antarctica,H6,1.03 g,103,J23 NIPR-RBINS,
Asuka 09031,A 09031,Official,,2009,Antarctica,H6,0.89 g,103,J23 NIPR-RBINS,
Asuka 09032,A 09032,Official,,2009,Antarctica,H6,1.05 g,103,J23 NIPR-RBINS,
Asuka 09033,A 09033,Official,,2009,Antarctica,H6,1.02 g,103,J23 NIPR-RBINS,
Asuka 09034,A 09034,Official,,2009,Antarctica,H6,0.75 g,103,J23 NIPR-RBINS,
Asuka 09035,A 09035,Official,,2009,Antarctica,H6,0.55 g,103,J23 NIPR-RBINS,
Asuka 09036,A 09036,Official,,2009,Antarctica,LL3,0.88 g,103,J23 NIPR-RBINS,
Asuka 09037,A 09037,Official,,2009,Antarctica,LL3,0.76 g,103,J23 NIPR-RBINS,
Asuka 09038,A 09038,Official,,2009,Antarctica,H6,0.83 g,103,J23 NIPR-RBINS,
Asuka 09039,A 09039,Official,,2009,Antarctica,H6,0.8 g,103,J23 NIPR-RBINS,
Asuka 09040,A 09040,Official,,2009,Antarctica,H6,0.72 g,103,J23 NIPR-RBINS,
Asuka 09041,A 09041,Official,,2009,Antarctica,H6,0.64 g,103,J23 NIPR-RBINS,
Asuka 09042,A 09042,Official,,2009,Antarctica,H6,0.63 g,103,J23 NIPR-RBINS,
Asuka 09043,A 09043,Official,,2009,Antarctica,H6,0.65 g,103,J23 NIPR-RBINS,
Asuka 09044,A 09044,Official,,2009,Antarctica,LL3,0.54 g,103,J23 NIPR-RBINS,
Asuka 09045,A 09045,Official,,2009,Antarctica,L3,0.58 g,103,J23 NIPR-RBINS,
Asuka 09046,A 09046,Official,,2009,Antarctica,H6,0.45 g,103,J23 NIPR-RBINS,
Asuka 09047,A 09047,Official,,2009,Antarctica,H6,0.61 g,103,J23 NIPR-RBINS,
Asuka 09048,A 09048,Official,,2009,Antarctica,H6,0.57 g,103,J23 NIPR-RBINS,
Asuka 09049,A 09049,Official,,2009,Antarctica,H6,0.5 g,103,J23 NIPR-RBINS,
Asuka 09050,A 09050,Official,,2009,Antarctica,H6,0.76 g,103,J23 NIPR-RBINS,
Asuka 09051,A 09051,Official,,2009,Antarctica,H6,0.58 g,103,J23 NIPR-RBINS,
Asuka 09052,A 09052,Official,,2009,Antarctica,H6,0.58 g,103,J23 NIPR-RBINS,
Asuka 09053,A 09053,Official,,2009,Antarctica,H6,0.57 g,103,J23 NIPR-RBINS,
Asuka 09054,A 09054,Official,,2009,Antarctica,LL3,0.38 g,103,J23 NIPR-RBINS,
Asuka 09055,A 09055,Official,,2009,Antarctica,H6,0.45 g,103,J23 NIPR-RBINS,
Asuka 09056,A 09056,Official,,2009,Antarctica,H6,0.32 g,103,J23 NIPR-RBINS,
Asuka 09057,A 09057,Official,,2009,Antarctica,H6,0.65 g,103,J23 NIPR-RBINS,
Asuka 09058,A 09058,Official,,2009,Antarctica,H6,0.58 g,103,J23 NIPR-RBINS,
Asuka 09059,A 09059,Official,,2009,Antarctica,H6,0.42 g,103,J23 NIPR-RBINS,
Asuka 09060,A 09060,Official,,2009,Antarctica,H6,0.37 g,113,J29 NIPR-RBINS,
Asuka 09061,A 09061,Official,,2009,Antarctica,H6,0.33 g,113,J29 NIPR-RBINS,
Asuka 09062,A 09062,Official,,2009,Antarctica,H6,0.49 g,103,J23 NIPR-RBINS,
Asuka 09063,A 09063,Official,,2009,Antarctica,H6,0.25 g,113,J29 NIPR-RBINS,
Asuka 09064,A 09064,Official,,2009,Antarctica,H6,0.27 g,113,J29 NIPR-RBINS,
Asuka 09065,A 09065,Official,,2009,Antarctica,H6,0.36 g,113,J29 NIPR-RBINS,
Asuka 09066,A 09066,Official,,2009,Antarctica,H6,0.25 g,113,J29 NIPR-RBINS,
Asuka 09067,A 09067,Official,,2009,Antarctica,H6,0.32 g,103,J23 NIPR-RBINS,
Asuka 09068,A 09068,Official,,2009,Antarctica,H6,0.35 g,113,J29 NIPR-RBINS,
Asuka 09069,A 09069,Official,,2009,Antarctica,H6,0.32 g,113,J29 NIPR-RBINS,
Asuka 09070,A 09070,Official,,2009,Antarctica,H6,0.3 g,113,J29 NIPR-RBINS,
Asuka 09071,A 09071,Official,,2009,Antarctica,H6,0.28 g,113,J29 NIPR-RBINS,
Asuka 09072,A 09072,Official,,2009,Antarctica,H6,0.33 g,113,J29 NIPR-RBINS,
Asuka 09073,A 09073,Official,,2009,Antarctica,H6,0.27 g,113,J29 NIPR-RBINS,
Asuka 09074,A 09074,Official,,2009,Antarctica,H6,0.23 g,113,J29 NIPR-RBINS,
Asuka 09075,A 09075,Official,,2009,Antarctica,H6,0.25 g,113,J29 NIPR-RBINS,
Asuka 09076,A 09076,Official,,2009,Antarctica,H6,0.24 g,113,J29 NIPR-RBINS,
Asuka 09077,A 09077,Official,,2009,Antarctica,H6,0.21 g,113,J29 NIPR-RBINS,
Asuka 09078,A 09078,Official,,2009,Antarctica,H6,0.23 g,113,J29 NIPR-RBINS,
Asuka 09079,A 09079,Official,,2009,Antarctica,H6,0.21 g,113,J29 NIPR-RBINS,
Asuka 09080,A 09080,Official,,2009,Antarctica,H6,0.25 g,113,J29 NIPR-RBINS,
Asuka 09081,A 09081,Official,,2009,Antarctica,H6,0.25 g,113,J29 NIPR-RBINS,
Asuka 09082,A 09082,Official,,2009,Antarctica,H6,0.18 g,113,J29 NIPR-RBINS,
Asuka 09083,A 09083,Official,,2009,Antarctica,H6,0.18 g,113,J29 NIPR-RBINS,
Asuka 09084,A 09084,Official,,2009,Antarctica,H6,0.18 g,113,J29 NIPR-RBINS,
Asuka 09086,A 09086,Official,,2009,Antarctica,H6,0.13 g,113,J29 NIPR-RBINS,
Asuka 09087,A 09087,Official,,2009,Antarctica,H6,0.14 g,113,J29 NIPR-RBINS,
Asuka 09089,A 09089,Official,,2009,Antarctica,H6,0.17 g,113,J29 NIPR-RBINS,
Asuka 09090,A 09090,Official,,2009,Antarctica,H6,0.11 g,113,J29 NIPR-RBINS,
Asuka 09091,A 09091,Official,,2009,Antarctica,H6,0.12 g,113,J29 NIPR-RBINS,
Asuka 09132,A 09132,Official,,2009,Antarctica,LL3,1.71 g,103,J23 NIPR-RBINS,
Asuka 09133,A 09133,Official,,2009,Antarctica,LL3,2.1 g,103,J23 NIPR-RBINS,
Asuka 09134,A 09134,Official,,2009,Antarctica,LL3,1.24 g,103,J23 NIPR-RBINS,
Asuka 09135,A 09135,Official,,2009,Antarctica,LL3,146.1 g,103,J23 NIPR-RBINS,
Asuka 09136,A 09136,Official,,2009,Antarctica,H6,15.8 g,103,J23 NIPR-RBINS,
Asuka 09137,A 09137,Official,,2009,Antarctica,LL3,4.59 g,103,J23 NIPR-RBINS,
Asuka 09138,A 09138,Official,,2009,Antarctica,LL3,3.97 g,103,J23 NIPR-RBINS,
Asuka 09139,A 09139,Official,,2009,Antarctica,LL3,3.3 g,103,J23 NIPR-RBINS,
Asuka 09140,A 09140,Official,,2009,Antarctica,LL3,3 g,103,J23 NIPR-RBINS,
Asuka 09141,A 09141,Official,,2009,Antarctica,LL3,2.6 g,103,J23 NIPR-RBINS,
Asuka 09142,A 09142,Official,,2009,Antarctica,LL3,2.73 g,103,J23 NIPR-RBINS,
Asuka 09143,A 09143,Official,,2009,Antarctica,LL3,2.11 g,103,J23 NIPR-RBINS,
Asuka 09144,A 09144,Official,,2009,Antarctica,LL3,1.71 g,103,J23 NIPR-RBINS,
Asuka 09145,A 09145,Official,,2009,Antarctica,LL3,1.58 g,103,J23 NIPR-RBINS,
Asuka 09146,A 09146,Official,,2009,Antarctica,LL3,1.5 g,103,J23 NIPR-RBINS,
Asuka 09147,A 09147,Official,,2009,Antarctica,LL3,1.62 g,103,J23 NIPR-RBINS,
Asuka 09148,A 09148,Official,,2009,Antarctica,LL3,1.07 g,103,J23 NIPR-RBINS,
Asuka 09150,A 09150,Official,,2009,Antarctica,LL3,1.04 g,103,J23 NIPR-RBINS,
Asuka 09151,A 09151,Official,,2009,Antarctica,LL3,1.16 g,103,J23 NIPR-RBINS,
Asuka 09152,A 09152,Official,,2009,Antarctica,LL3,0.95 g,103,J23 NIPR-RBINS,
Asuka 09153,A 09153,Official,,2009,Antarctica,LL3,0.87 g,103,J23 NIPR-RBINS,
Asuka 09154,A 09154,Official,,2009,Antarctica,LL3,1 g,103,J23 NIPR-RBINS,
Asuka 09155,A 09155,Official,,2009,Antarctica,LL3,0.7 g,103,J23 NIPR-RBINS,
Asuka 09156,A 09156,Official,,2009,Antarctica,H6,0.75 g,103,J23 NIPR-RBINS,
