Name,Abbrev,Status,Fall,Year,Place,Type,Mass,MetBull,Antarctic,"(Lat,Long)",Notes,,,
Northwest Africa 13921 **,NWA 13921,Official,,2020,(Northwest Africa),Achondrite-ung,807 g,110,,,,,,
Northwest Africa 13925 **,NWA 13925,Official,,2020,(Northwest Africa),Martian (shergottite),1250 g,110,,,,,,
Northwest Africa 13927 **,NWA 13927,Official,,2020,(Northwest Africa),Aubrite,98 g,110,,,,,,
Northwest Africa 13930 **,NWA 13930,Official,,2020,Algeria,Lunar (feldsp. breccia),92 g,110,,,,,,
Northwest Africa 13944 **,NWA 13944,Official,,2020,(Northwest Africa),Eucrite-pmict,226 g,110,,,,,,
Northwest Africa 13954 **,NWA 13954,Official,,2020,Mauritania,Achondrite-ung,4.5 kg,110,,,,,,
Northwest Africa 13955 **,NWA 13955,Official,,2020,Algeria,Achondrite-ung,1760 g,110,,,,,,
Northwest Africa 13956 **,NWA 13956,Official,,2020,Algeria,CK5,98.4 g,110,,,,,,
Northwest Africa 13959 **,NWA 13959,Official,,2020,(Northwest Africa),L7-melt breccia,1855 g,110,,,,,,
Northwest Africa 13962 **,NWA 13962,Official,,2020,(Northwest Africa),Ureilite,250 g,110,,,,,,
Northwest Africa 13963 **,NWA 13963,Official,,2020,(Northwest Africa),L6-an,271 g,113,,,,,,
Northwest Africa 13965 **,NWA 13965,Official,,2020,(Northwest Africa),Martian (shergottite),1720 g,110,,,,,,
Northwest Africa 13973 **,NWA 13973,Official,,2020,(Northwest Africa),Martian (shergottite),4.5 kg,110,,,,,,
Northwest Africa 13981 **,NWA 13981,Official,,2020,(Northwest Africa),Eucrite-an,4.04 kg,110,,,,,,
Northwest Africa 13982 **,NWA 13982,Official,,2020,(Northwest Africa),R3-6,1535 g,110,,,,,,
Northwest Africa 13983 **,NWA 13983,Official,,2020,(Northwest Africa),Diogenite-pm,1500 g,110,,,,,,
Northwest Africa 13985 **,NWA 13985,Official,,2020,(Northwest Africa),Eucrite-pmict,312 g,110,,,,,,
Northwest Africa 13986 **,NWA 13986,Official,,2020,(Northwest Africa),Winonaite,1845 g,110,,,,,,
Northwest Africa 13987 **,NWA 13987,Official,,2020,(Northwest Africa),CK4,1570 g,110,,,,,,
Northwest Africa 13993 **,NWA 13993,Official,,2020,(Northwest Africa),Eucrite-br,807 g,110,,,,,,
Northwest Africa 13997 **,NWA 13997,Official,,2020,(Northwest Africa),LL3,123.9 g,110,,,,,,
Northwest Africa 14001 **,NWA 14001,Official,,2020,(Northwest Africa),LL4,25 g,110,,,,,,
Northwest Africa 14003 **,NWA 14003,Official,,2020,(Northwest Africa),H4,1950 g,110,,,,,,
Northwest Africa 14004 **,NWA 14004,Official,,2020,(Northwest Africa),CV3,1720 g,110,,,,,,
Northwest Africa 14005 **,NWA 14005,Official,,2020,Algeria,Lunar (feldsp. breccia),15 g,110,,,,,,
Northwest Africa 14006 **,NWA 14006,Official,,2020,(Northwest Africa),L4,15 kg,110,,,,,,
Northwest Africa 14008 **,NWA 14008,Official,,2020,Morocco,L5,527 g,110,,,,,,
Northwest Africa 14011 **,NWA 14011,Official,,2020,Mali,Diogenite,5.01 kg,110,,,,,,
Northwest Africa 14016 **,NWA 14016,Official,,2020,(Northwest Africa),Eucrite-melt breccia,29.4 kg,110,,,,,,
Northwest Africa 14017 **,NWA 14017,Official,,2020,(Northwest Africa),Martian (shergottite),1665 g,110,,,,,,
Northwest Africa 14028 **,NWA 14028,Official,,2020,(Northwest Africa),Eucrite-mmict,140 g,110,,,,,,
Northwest Africa 14029 **,NWA 14029,Official,,2020,(Northwest Africa),L5,117 g,110,,,,,,
Northwest Africa 14030 **,NWA 14030,Official,,2020,(Northwest Africa),L3-6,640 g,110,,,,,,
Northwest Africa 14035 **,NWA 14035,Official,,2020,(Northwest Africa),Lunar (feldsp. breccia),189 g,110,,,,,,
Northwest Africa 14038 **,NWA 14038,Official,,2020,(Northwest Africa),LL3,2.07 kg,110,,,,,,
Northwest Africa 14043 **,NWA 14043,Official,,2020,(Northwest Africa),L4/5,1000 g,110,,,,,,
Northwest Africa 14046 **,NWA 14046,Official,,2020,Algeria,Howardite,219 g,110,,,,,,
Northwest Africa 14047 **,NWA 14047,Official,,2020,(Northwest Africa),Martian (shergottite),1850 g,110,,,,,,
Northwest Africa 14048 **,NWA 14048,Official,,2020,(Northwest Africa),R4,354 g,110,,,,,,
Northwest Africa 14049 **,NWA 14049,Official,,2020,(Northwest Africa),Diogenite-pm,1249 g,110,,,,,,
Northwest Africa 14050 **,NWA 14050,Official,,2020,(Northwest Africa),Lunar (feldsp. breccia),69.6 g,110,,,,,,
Northwest Africa 14051 **,NWA 14051,Official,,2020,(Northwest Africa),C3-ung,9.5 g,110,,,,,,
Northwest Africa 14052 **,NWA 14052,Official,,2020,(Northwest Africa),C3-ung,8.8 g,110,,,,,,
Northwest Africa 14053 **,NWA 14053,Official,,2020,Morocco,H6,6.18 kg,110,,,,,,
Northwest Africa 14054 **,NWA 14054,Official,,2020,Morocco,EL6,127 g,110,,,,,,
Northwest Africa 14055 **,NWA 14055,Official,,2020,Morocco,L4,280 g,110,,,,,,
Northwest Africa 14066 **,NWA 14066,Official,,2020,(Northwest Africa),CO3,129 g,110,,,,,,
Northwest Africa 14068 **,NWA 14068,Official,,2020,(Northwest Africa),EL7,768 g,110,,,,,,
Northwest Africa 14069 **,NWA 14069,Official,,2020,(Northwest Africa),CVox3,1647 g,110,,,,,,
Northwest Africa 14070 **,NWA 14070,Official,,2020,(Northwest Africa),H4,880 g,110,,,,,,
Northwest Africa 14072 **,NWA 14072,Official,,2020,(Northwest Africa),Ureilite,538 g,110,,,,,,
Northwest Africa 14073 **,NWA 14073,Official,,2020,(Northwest Africa),CK3,228 g,110,,,,,,
Northwest Africa 14074 **,NWA 14074,Official,,2020,(Northwest Africa),LL3,470 g,110,,,,,,
Northwest Africa 14078 **,NWA 14078,Official,,2020,(Northwest Africa),Acapulcoite,25.1 g,110,,,,,,
Northwest Africa 14079 **,NWA 14079,Official,,2020,(Northwest Africa),H4,370 g,110,,,,,,
Northwest Africa 14084 **,NWA 14084,Official,,2020,(Northwest Africa),H5,4.42 kg,110,,,,,,
Northwest Africa 14089 **,NWA 14089,Official,,2020,Algeria,Eucrite,683 g,110,,,,,,
Northwest Africa 14102 **,NWA 14102,Official,,2020,Morocco,Eucrite-br,40.3 g,110,,,,,,
Northwest Africa 14119 **,NWA 14119,Official,,2020,(Northwest Africa),CK4,2.51 kg,110,,,,,,
Northwest Africa 14133 **,NWA 14133,Official,,2020,Morocco,H5,2.06 kg,110,,,,,,
Northwest Africa 14142 **,NWA 14142,Official,,2020,(Northwest Africa),Eucrite-unbr,480 g,110,,,,,,
Northwest Africa 14145 **,NWA 14145,Official,,2020,(Northwest Africa),CK4,170 g,110,,,,,,
Northwest Africa 14146 **,NWA 14146,Official,,2020,(Northwest Africa),Eucrite-mmict-an,399 g,110,,,,,,
Northwest Africa 14148 **,NWA 14148,Official,,2020,(Northwest Africa),CK4,366 g,110,,,,,,
Northwest Africa 14165,NWA 14165,Official,,2020,(Northwest Africa),L6,219 g,110,,,,,,
Northwest Africa 14171 **,NWA 14171,Official,,2020,Niger,L-melt rock,271 g,110,,,,,,
Northwest Africa 14172 **,NWA 14172,Official,,2020,Mali,CK5,230 g,110,,,,,,
Northwest Africa 14173 **,NWA 14173,Official,,2020,Mali,L4,458 g,110,,,,,,
Northwest Africa 14176 **,NWA 14176,Official,,2020,(Northwest Africa),Eucrite-an,310 g,110,,,,,,
Northwest Africa 14178 **,NWA 14178,Official,,2020,(Northwest Africa),Lunar (bas. breccia),440 g,110,,,,,,
Northwest Africa 14179 **,NWA 14179,Official,,2020,(Northwest Africa),C3-ung,265 g,110,,,,,,
Northwest Africa 14184 **,NWA 14184,Official,,2020,(Northwest Africa),L6,728 g,110,,,,,,
Northwest Africa 14186 **,NWA 14186,Official,,2020,Mali,LL4,390 g,110,,,,,,
Northwest Africa 14195 **,NWA 14195,Official,,2020,(Northwest Africa),Eucrite-pmict,773 g,110,,,,,,
Northwest Africa 14201 **,NWA 14201,Official,,2020,Algeria,Howardite,33 g,110,,,,,,
Northwest Africa 14204 **,NWA 14204,Official,,2020,(Northwest Africa),H5,300 g,110,,,,,,
Northwest Africa 14209 **,NWA 14209,Official,,2020,(Northwest Africa),Eucrite-br,399 g,110,,,,,,
Northwest Africa 14210 **,NWA 14210,Official,,2020,(Northwest Africa),CK5,1200 g,110,,,,,,
Northwest Africa 14215 **,NWA 14215,Official,,2020,(Northwest Africa),L5,1100 g,110,,,,,,
Northwest Africa 14239,NWA 14239,Official,,2020,(Northwest Africa),L6,121 g,110,,,,,,
Northwest Africa 14240 **,NWA 14240,Official,,2020,(Northwest Africa),H6,7.45 kg,110,,,,,,
Northwest Africa 14242 **,NWA 14242,Official,,2020,(Northwest Africa),"Iron, IAB-ung",21 g,110,,,,,,
Northwest Africa 14245 **,NWA 14245,Official,,2020,Morocco,Eucrite,69.2 g,110,,,,,,
Northwest Africa 14268 **,NWA 14268,Official,,2020,Algeria,LL5,417 g,110,,,,,,
Northwest Africa 14270 **,NWA 14270,Official,,2020,(Northwest Africa),Achondrite-ung,20 g,110,,,,,,
Northwest Africa 14273 **,NWA 14273,Official,,2020,(Northwest Africa),Achondrite-ung,1200 g,111,,,,,,
Northwest Africa 14275 **,NWA 14275,Official,,2020,Algeria,H4,789 g,110,,,,,,
Northwest Africa 14276 **,NWA 14276,Official,,2020,Morocco,L3-5,250 g,110,,,,,,
Northwest Africa 14277 **,NWA 14277,Official,,2020,Morocco,L5,350 g,110,,,,,,
Northwest Africa 14278 **,NWA 14278,Official,,2020,Morocco,L5-melt breccia,4.4 kg,110,,,,,,
Northwest Africa 14280 **,NWA 14280,Official,,2020,Algeria,Lunar (feldsp. breccia),26 g,110,,,,,,
Northwest Africa 14283 **,NWA 14283,Official,,2020,(Northwest Africa),"Iron, IIAB",650 g,110,,,,,,
Northwest Africa 14284 **,NWA 14284,Official,,2020,(Northwest Africa),"Iron, IAB-sLH",178 g,110,,,,,,
Northwest Africa 14285 **,NWA 14285,Official,,2020,(Northwest Africa),"Iron, IAB-sLH",383 g,110,,,,,,
Northwest Africa 14296 **,NWA 14296,Official,,2020,Mali,L4,230 g,111,,,,,,
Northwest Africa 14299,NWA 14299,Official,,2020,(Northwest Africa),L6,1800 g,111,,,,,,
Northwest Africa 14300,NWA 14300,Official,,2020,(Northwest Africa),L5,152 g,111,,,,,,
Northwest Africa 14301,NWA 14301,Official,,2020,(Northwest Africa),H4,430 g,111,,,,,,
Northwest Africa 14307,NWA 14307,Official,,2020,Morocco,L5,36.7 g,111,,,,,,
Northwest Africa 14308,NWA 14308,Official,,2020,Morocco,L5,323 g,111,,,,,,
Northwest Africa 14309,NWA 14309,Official,,2020,Morocco,L5,2.22 kg,111,,,,,,
Northwest Africa 14310,NWA 14310,Official,,2020,Morocco,L6,42.4 g,111,,,,,,
Northwest Africa 14311,NWA 14311,Official,,2020,Morocco,L5,400 g,111,,,,,,
Northwest Africa 14317 **,NWA 14317,Official,,2020,(Northwest Africa),CO3,1450 g,110,,,,,,
Northwest Africa 14342 **,NWA 14342,Official,,2020,(Northwest Africa),Eucrite-cm,161 g,110,,,,,,
Northwest Africa 14343 **,NWA 14343,Official,,2020,(Northwest Africa),LL6-melt breccia,652 g,110,,,,,,
Northwest Africa 14356 **,NWA 14356,Official,,2020,Morocco,L5,31 g,110,,,,,,
Northwest Africa 14357 **,NWA 14357,Official,,2020,Morocco,L3,24 g,110,,,,,,
Northwest Africa 14377 **,NWA 14377,Official,,2020,(Northwest Africa),H4,112 g,110,,,,,,
Northwest Africa 14378 **,NWA 14378,Official,,2020,(Northwest Africa),CO3,1004 g,110,,,,,,
Northwest Africa 14381 **,NWA 14381,Official,,2020,(Northwest Africa),Eucrite-unbr,2.86 kg,110,,,,,,
Northwest Africa 14384 **,NWA 14384,Official,,2020,(Northwest Africa),H4,290 g,110,,,,,,
Northwest Africa 14386 **,NWA 14386,Official,,2020,(Northwest Africa),Eucrite-melt breccia,1268 g,110,,,,,,
Northwest Africa 14387 **,NWA 14387,Official,,2020,(Northwest Africa),LL3,902 g,110,,,,,,
Northwest Africa 14391 **,NWA 14391,Official,,2020,(Northwest Africa),H3,1494 g,110,,,,,,
Northwest Africa 14411 **,NWA 14411,Official,,2020,(Northwest Africa),Winonaite,780 g,110,,,,,,
Northwest Africa 14412 **,NWA 14412,Official,,2020,(Northwest Africa),CK5,340 g,110,,,,,,
Northwest Africa 14413,NWA 14413,Official,,2020,(Northwest Africa),LL6,28 g,110,,,,,,
Northwest Africa 14414 **,NWA 14414,Official,,2020,(Northwest Africa),Howardite,1035 g,110,,,,,,
Northwest Africa 14415 **,NWA 14415,Official,,2020,(Northwest Africa),Lunar (feldsp. breccia),3.8 g,110,,,,,,
Northwest Africa 14416 **,NWA 14416,Official,,2020,(Northwest Africa),L4,167 g,110,,,,,,
Northwest Africa 14417 **,NWA 14417,Official,,2020,Mauritania,CVoxB3,44.8 g,110,,,,,,
Northwest Africa 14418 **,NWA 14418,Official,,2020,(Northwest Africa),Eucrite,482 g,110,,,,,,
Northwest Africa 14457 **,NWA 14457,Official,,2020,(Northwest Africa),L4/5-melt breccia,3.56 kg,110,,,,,,
Northwest Africa 14466 **,NWA 14466,Official,,2020,Niger,H5/6,1489 g,110,,,,,,
Northwest Africa 14467 **,NWA 14467,Official,,2020,Niger,H5/6,3.6 kg,110,,,,,,
Northwest Africa 14484 **,NWA 14484,Official,,2020,(Northwest Africa),H5,57 g,110,,,,,,
Northwest Africa 14495 **,NWA 14495,Official,,2020,(Northwest Africa),"Iron, IVA",289 g,110,,,,,,
Northwest Africa 14506 **,NWA 14506,Official,,2020,"Tijirit, Mauritania",L5,1070 g,110,,,,,,
Northwest Africa 14507 **,NWA 14507,Official,,2020,"Binishab, Mauritania",L6,443 g,110,,,,,,
Northwest Africa 14522 **,NWA 14522,Official,,2020,Morocco,Eucrite,5.5 kg,110,,,,,,
Northwest Africa 14523 **,NWA 14523,Official,,2020,Morocco,Lunar (feldsp. breccia),2.8 kg,110,,,,,,
Northwest Africa 14525,NWA 14525,Provisional,,2020,Algeria,Unknown,1500 g,,,,,,,
Northwest Africa 14527 **,NWA 14527,Official,,2020,Morocco,Lunar (feldsp. breccia),38 g,111,,,,,,
Northwest Africa 14529 **,NWA 14529,Official,,2020,(Northwest Africa),"Iron, ungrouped",53.2 g,111,,,,,,
Northwest Africa 14555 **,NWA 14555,Official,,2020,(Northwest Africa),L5,35 g,110,,,,,,
Northwest Africa 14556 **,NWA 14556,Official,,2020,(Northwest Africa),H5,25 g,110,,,,,,
Northwest Africa 14557 **,NWA 14557,Official,,2020,(Northwest Africa),L5,22 g,110,,,,,,
Northwest Africa 14571 **,NWA 14571,Official,,2020,(Northwest Africa),Mesosiderite-A4,36.8 g,111,,,,,,
Northwest Africa 14572 **,NWA 14572,Official,,2020,(Northwest Africa),L-melt rock,10.7 g,112,,,,,,
Northwest Africa 14573 **,NWA 14573,Official,,2020,(Northwest Africa),Mesosiderite-A3,153.5 g,111,,,,,,
Northwest Africa 14590 **,NWA 14590,Official,,2020,(Northwest Africa),L4/5,1330 g,111,,,,,,
Northwest Africa 14610 **,NWA 14610,Official,,2020,(Northwest Africa),L5,2.3 kg,111,,,,,,
Northwest Africa 14622 **,NWA 14622,Official,,2020,Mali,CV3,2.15 kg,111,,,,,,
Northwest Africa 14629 **,NWA 14629,Official,,2020,(Northwest Africa),H5,9.18 kg,111,,,,,,
Northwest Africa 14630 **,NWA 14630,Official,,2020,(Northwest Africa),CK5,117 g,111,,,,,,
Northwest Africa 14665 **,NWA 14665,Official,,2020,(Northwest Africa),H5,3.6 kg,111,,,,,,
Northwest Africa 14666 **,NWA 14666,Official,,2020,Mali,Ureilite,1130 g,111,,,,,,
Northwest Africa 14682 **,NWA 14682,Official,,2020,(Northwest Africa),Eucrite-unbr,14 kg,111,,,,,,
Northwest Africa 14683 **,NWA 14683,Official,,2020,(Northwest Africa),Diogenite-olivine,5 kg,111,,,,,,
Northwest Africa 14684 **,NWA 14684,Official,,2020,(Northwest Africa),Mesosiderite-A3,3 kg,111,,,,,,
Northwest Africa 14685 **,NWA 14685,Official,,2020,(Northwest Africa),Lunar (frag. breccia),8 kg,111,,,,,,
Northwest Africa 14686 **,NWA 14686,Official,,2020,(Northwest Africa),Lunar (frag. breccia),12 kg,111,,,,,,
Northwest Africa 14687 **,NWA 14687,Official,,2020,(Northwest Africa),Lunar (frag. breccia),4.9 kg,111,,,,,,
Northwest Africa 14798 **,NWA 14798,Official,,2020,Algeria,Lunar (feldsp. breccia),356 g,111,,,,,,
Northwest Africa 14801 **,NWA 14801,Official,,2020,Mauritania,Diogenite-pm,43 g,111,,,,,,
Northwest Africa 14802 **,NWA 14802,Official,,2020,Morocco,Eucrite-br,122.1 g,111,,,,,,
Northwest Africa 14913 **,NWA 14913,Official,,2020,(Northwest Africa),L6,231 g,111,,,,,,
Northwest Africa 14914 **,NWA 14914,Official,,2020,(Northwest Africa),CK3,1150 g,111,,,,,,
Northwest Africa 14923 **,NWA 14923,Official,,2020,(Northwest Africa),H4,3 kg,111,,,,,,
Northwest Africa 14939 **,NWA 14939,Official,,2020,Morocco,L5§,24.3 kg,111,,,,,,
Northwest Africa 15034 **,NWA 15034,Official,,2020,(Northwest Africa),L5,5.93 kg,111,,,,,,
Northwest Africa 15035 **,NWA 15035,Official,,2020,(Northwest Africa),H3,3.12 kg,111,,,,,,
Northwest Africa 15115 **,NWA 15115,Official,,2020,Morocco,"Iron, IAB complex",126 g,111,,,,,,
Northwest Africa 15122 **,NWA 15122,Official,,2020,(Northwest Africa),H4,1154 g,111,,,,,,
Northwest Africa 15124 **,NWA 15124,Official,,2020,(Northwest Africa),H4,430 g,111,,,,,,
Northwest Africa 15128 **,NWA 15128,Official,,2020,(Northwest Africa),H4,134 g,111,,,,,,
Northwest Africa 15159,NWA 15159,Official,,2020,Mauritania,L6§,1409 g,112,,,,,,
Northwest Africa 15177 **,NWA 15177,Official,,2020,Mauritania,CVox3,42.5 g,111,,,,,,
Northwest Africa 15206 **,NWA 15206,Official,,2020,(Northwest Africa),H7,13 kg,111,,,,,,
Northwest Africa 15258 **,NWA 15258,Official,,2020,(Northwest Africa),Eucrite-br,1054 g,111,,,,,,
Northwest Africa 15321 **,NWA 15321,Official,,2020,Algeria,Eucrite-mmict,257 g,111,,,,,,
Northwest Africa 15334 **,NWA 15334,Official,,2020,Algeria,L5,8.35 kg,111,,,,,,
Northwest Africa 15335 **,NWA 15335,Official,,2020,Algeria,R3,1195 g,111,,,,,,
Northwest Africa 15336 **,NWA 15336,Official,,2020,Algeria,Diogenite-pm,181.3 g,111,,,,,,
Northwest Africa 15346 **,NWA 15346,Official,,2020,Western Sahara,Mesosiderite-B2,67.5 kg,111,,,,,,
Northwest Africa 15352 **,NWA 15352,Official,,2020,(Northwest Africa),Lunar (feldsp. breccia),4.13 kg,111,,,,,,
Northwest Africa 15374 **,NWA 15374,Official,,2020,(Northwest Africa),Lunar (melt breccia),1300 g,111,,,,,,
Northwest Africa 15423 **,NWA 15423,Official,,2020,Algeria,Eucrite-mmict,925 g,111,,,,,,
Northwest Africa 15429 **,NWA 15429,Official,,2020,Algeria,LL3,968 g,111,,,,,,
Northwest Africa 15431 **,NWA 15431,Official,,2020,(Northwest Africa),Lunar (frag. breccia),35 g,111,,,,,,
Northwest Africa 15441 **,NWA 15441,Official,,2020,(Northwest Africa),LL3,203 g,111,,,,,,
Northwest Africa 15487 **,NWA 15487,Official,,2020,(Northwest Africa),Winonaite-an,23 g,113,,,,,,
Northwest Africa 15493 **,NWA 15493,Official,,2020,(Northwest Africa),LL3.05,425 g,111,,,,,,
Northwest Africa 15497 **,NWA 15497,Official,,2020,(Northwest Africa),Martian (shergottite),11.9 g,111,,,,,,
Northwest Africa 15592,NWA 15592,Official,,2020,(Northwest Africa),H5,213 g,112,,,,,,
Northwest Africa 15641 **,NWA 15641,Official,,2020,(Northwest Africa),CK5-6,3.36 kg,112,,,,,,
Northwest Africa 15646 **,NWA 15646,Official,,2020,Morocco,Eucrite-unbr,5.81 kg,112,,,,,,
Northwest Africa 15750 **,NWA 15750,Official,,2020,(Northwest Africa),R4,515 g,112,,,,,,
Northwest Africa 15766 **,NWA 15766,Official,,2020,(Northwest Africa),LL6-melt breccia,287 g,112,,,,,,
Northwest Africa 15785 **,NWA 15785,Official,,2020,Morocco,L4-melt breccia,632 g,112,,,,,,
Northwest Africa 15819 **,NWA 15819,Official,,2020,(Northwest Africa),CO3,16.1 g,112,,,,,,
Northwest Africa 15855 **,NWA 15855,Official,,2020,"Oued Ed-Dahab, Western Sahara",CV3,1788 g,112,,,,,,
Northwest Africa 15856 **,NWA 15856,Official,,2020,"Ouargla, Algeria",Eucrite-pmict,530 g,112,,,,,,
Northwest Africa 15917 **,NWA 15917,Official,,2020,(Northwest Africa),Martian (shergottite),222 g,112,,,,,,
Northwest Africa 15932 **,NWA 15932,Official,,2020,(Northwest Africa),Eucrite-br,379 g,112,,,,,,
Northwest Africa 15942 **,NWA 15942,Official,,2020,(Northwest Africa),Eucrite-melt breccia,657 g,112,,,,,,
Northwest Africa 16004 **,NWA 16004,Official,,2020,(Northwest Africa),Eucrite-mmict,5 kg,112,,,,,,
Northwest Africa 16023 **,NWA 16023,Official,,2020,(Northwest Africa),H5§,620 g,112,,,,,,
Northwest Africa 16042 **,NWA 16042,Official,,2020,(Northwest Africa),R3-5,2.05 kg,112,,,,,,
Northwest Africa 16045 **,NWA 16045,Official,,2020,(Northwest Africa),Lodranite,1925 g,113,,,,,,
Northwest Africa 16090 **,NWA 16090,Official,,2020,(Northwest Africa),LL3,525 g,112,,,,,,
Northwest Africa 16178 **,NWA 16178,Official,,2020,(Northwest Africa),H3-5,90 g,112,,,,,,
Northwest Africa 16251 **,NWA 16251,Official,,2020,(Northwest Africa),H5-melt breccia,3.95 kg,113,,,,,,
Northwest Africa 16261 **,NWA 16261,Official,,2020,(Northwest Africa),CO3,562 g,112,,,,,,
Northwest Africa 16297 **,NWA 16297,Official,,2020,(Northwest Africa),H3,58 g,112,,,,,,
Northwest Africa 16332 **,NWA 16332,Official,,2020,(Northwest Africa),H6,10 g,112,,,,,,
Northwest Africa 16349 **,NWA 16349,Official,,2020,Algeria,Lunar (bas/gab brec),50 g,112,,,,,,
Northwest Africa 16368 **,NWA 16368,Official,,2020,(Northwest Africa),LL3-6,51 g,112,,,,,,
Northwest Africa 16380,NWA 16380,Official,,2020,(Northwest Africa),L6,208 g,112,,,,,,
Northwest Africa 16381,NWA 16381,Official,,2020,(Northwest Africa),H5,135 g,112,,,,,,
Northwest Africa 16398 **,NWA 16398,Official,,2020,(Northwest Africa),Eucrite-melt breccia,2.07 kg,113,,,,,,
Northwest Africa 16417 **,NWA 16417,Official,,2020,(Northwest Africa),LL6,18 kg,113,,,,,,
Northwest Africa 16427 **,NWA 16427,Official,,2020,Morocco,H5,500 g,113,,,,,,
Northwest Africa 16433 **,NWA 16433,Official,,2020,Morocco,CV3,9.8 g,113,,,,,,
Northwest Africa 16538 **,NWA 16538,Official,,2020,(Northwest Africa),L6,762 g,113,,,,,,
Northwest Africa 16569 **,NWA 16569,Official,,2020,(Northwest Africa),C3-ung,351 g,113,,,,,,
Northwest Africa 16666 **,NWA 16666,Official,,2020,(Northwest Africa),L5,1700 g,113,,,,,,
Northwest Africa 16667 **,NWA 16667,Official,,2020,(Northwest Africa),L-melt rock,231 g,113,,,,,,
Northwest Africa 16671 **,NWA 16671,Official,,2020,(Northwest Africa),H3,122 g,113,,,,,,
Northwest Africa 16680 **,NWA 16680,Official,,2020,Niger,Eucrite-mmict,3.35 kg,113,,,,,,
Northwest Africa 16681 **,NWA 16681,Official,,2020,Niger,Diogenite,2.8 kg,113,,,,,,
Northwest Africa 16699 **,NWA 16699,Official,,2020,Algeria,"Iron, IIIAB",4.06 kg,113,,,,,,
Northwest Africa 16712 **,NWA 16712,Official,,2020,(Northwest Africa),Mesosiderite,880 g,113,,,,,,
Northwest Africa 16819 **,NWA 16819,Official,,2020,(Northwest Africa),CV3,190.8 g,113,,,,,,
Northwest Africa 16821 **,NWA 16821,Official,,2020,(Northwest Africa),CV3,900 g,113,,,,,,
Northwest Africa 16832 **,NWA 16832,Official,,2020,(Northwest Africa),H3,60 g,113,,,,,,
Northwest Africa 16833,NWA 16833,Official,,2020,(Northwest Africa),L6,37 g,113,,,,,,
Northwest Africa 16841 **,NWA 16841,Official,,2020,Western Sahara,Eucrite,392 g,113,,,,,,
Northwest Africa 16845 **,NWA 16845,Official,,2020,Morocco,Diogenite-olivine,422 g,113,,,,,,
Northwest Africa 16880 **,NWA 16880,Official,,2020,Niger,Mesosiderite,191 g,113,,,,,,
Northwest Africa 16892 **,NWA 16892,Official,,2020,Mali,Eucrite-mmict,5 kg,113,,,,,,
Northwest Africa 17020 **,NWA 17020,Official,,2020,(Northwest Africa),H3-6,4 kg,113,,,,,,
Northwest Africa 17283 **,NWA 17283,Official,,2020,(Northwest Africa),LL4-5,1683 g,113,,,,,,
Nova 066 **,,Official,,2020,(unknown),L4,69.1 g,110,,,,,,
Novo Mesto **,,Official,Yc,2020,Slovenia,L5,720 g,109,,"(45.816830, 15.112500)  ",,,"(45.816830, 15.112500)  ","(45.816830, 15.112500)  "
Outer Recovery Icefields 19111 **,OUT 19111,Official,,2020,Antarctica,H5,18.9 g,112, LostMets-UK,"(-81.469820, -17.997370)  ",,,"(-81.469820, -17.997370)  ","(-81.469820, -17.997370)  "
Outer Recovery Icefields 19109 **,OUT 19109,Official,,2020,Antarctica,H6,141.3 g,111, LostMets-UK,"(-81.471520, -17.985330)  ",,,"(-81.471520, -17.985330)  ","(-81.471520, -17.985330)  "
Outer Recovery Icefields 19104 **,OUT 19104,Official,,2020,Antarctica,L6,286 g,111, LostMets-UK,"(-81.489630, -17.939780)  ",,,"(-81.489630, -17.939780)  ","(-81.489630, -17.939780)  "
Outer Recovery Icefields 19137 **,OUT 19137,Official,,2020,Antarctica,H6,5.8 g,112, LostMets-UK,"(-81.563070, -17.540400)  ",,,"(-81.563070, -17.540400)  ","(-81.563070, -17.540400)  "
Outer Recovery Icefields 19106 **,OUT 19106,Official,,2020,Antarctica,H6,2.93 g,112, LostMets-UK,"(-81.488220, -17.959850)  ",,,"(-81.488220, -17.959850)  ","(-81.488220, -17.959850)  "
Outer Recovery Icefields 19135 **,OUT 19135,Official,,2020,Antarctica,LL6,39.6 g,113, LostMets-UK,"(-81.445880, -17.744650)  ",,,"(-81.445880, -17.744650)  ","(-81.445880, -17.744650)  "
Outer Recovery Icefields 19128 **,OUT 19128,Official,,2020,Antarctica,H4,176.9 g,112, LostMets-UK,"(-81.575270, -17.491200)  ",,,"(-81.575270, -17.491200)  ","(-81.575270, -17.491200)  "
Outer Recovery Icefields 19138 **,OUT 19138,Official,,2020,Antarctica,L6,26.6 g,111, LostMets-UK,"(-81.560670, -17.491300)  ",,,"(-81.560670, -17.491300)  ","(-81.560670, -17.491300)  "
Outer Recovery Icefields 19124 **,OUT 19124,Official,,2020,Antarctica,CO3,35 g,113, LostMets-UK,"(-81.518130, -17.866770)  ",,,"(-81.518130, -17.866770)  ","(-81.518130, -17.866770)  "
Outer Recovery Icefields 19127 **,OUT 19127,Official,,2020,Antarctica,H5,6.1 g,112, LostMets-UK,"(-81.572500, -17.452180)  ",,,"(-81.572500, -17.452180)  ","(-81.572500, -17.452180)  "
