Name,Abbrev,Status,Fall,Year,Place,Type,Mass,MetBull,Antarctic,"(Lat,Long)"
Acfer 001,,Official,,1989,"Tamanghasset, Algeria",L6,6.7 kg,69,,"(27.500000, 3.616670)  "
Acfer 002,,Official,,1989,"Tamanghasset, Algeria",H5,228 g,69,,"(27.616670, 3.850000)  "
Acfer 003,,Official,,1989,"Tamanghasset, Algeria",H5,145 g,69,,"(27.816670, 4.033330)  "
Acfer 004,,Official,,1989,"Tamanghasset, Algeria",L6,1020 g,69,,"(27.583330, 3.816670)  "
Acfer 005,,Official,,1989,"Tamanghasset, Algeria",H3.9/4,115 g,69,,"(27.600000, 3.833330)  "
Acfer 006,,Official,,1989,"Tamanghasset, Algeria",H3.9/4,561 g,69,,"(27.633330, 3.966670)  "
Acfer 007,,Official,,1989,"Tamanghasset, Algeria",L5,542 g,69,,"(27.516670, 3.650000)  "
Acfer 008,,Official,,1989,"Tamanghasset, Algeria",H5,205 g,69,,"(27.533330, 3.700000)  "
Acfer 009,,Official,,1989,"Tamanghasset, Algeria",L6,127 g,69,,"(27.733330, 4.083330)  "
Acfer 010,,Official,,1989,"Tamanghasset, Algeria",L6,276 g,69,,"(27.750000, 4.100000)  "
Acfer 011,,Official,,1989,"Tamanghasset, Algeria",H5,3.8 kg,69,,"(27.750000, 4.166670)  "
Acfer 012,,Official,,1989,"Tamanghasset, Algeria",H6,98 g,69,,"(27.800000, 4.166670)  "
Acfer 013,,Official,,1989,"Tamanghasset, Algeria",H5,490 g,69,,"(27.833330, 4.283330)  "
Acfer 014,,Official,,1989,"Tamanghasset, Algeria",H5,307 g,69,,"(27.800000, 4.466670)  "
Acfer 015,,Official,,1989,"Tamanghasset, Algeria",L6,98 g,69,,"(27.783330, 4.283330)  "
Acfer 016,,Official,,1989,"Tamanghasset, Algeria",H4-5,111 g,69,,"(27.716670, 4.483330)  "
Acfer 017,,Official,,1989,"Tamanghasset, Algeria",L5,446 g,69,,"(27.733330, 4.400000)  "
Acfer 018,,Official,,1989,"Tamanghasset, Algeria",H5,207 g,69,,"(27.700000, 4.083330)  "
Acfer 019,,Official,,1989,"Tamanghasset, Algeria",L6,581 g,69,,"(27.700000, 4.066670)  "
Acfer 020,,Official,,1989,"Tamanghasset, Algeria",H5,708 g,69,,"(27.700000, 4.066670)  "
Acfer 021,,Official,,1989,"Tamanghasset, Algeria",H6,2.14 kg,74,,"(27.550000, 3.616670)  "
Acfer 022,,Official,,1989,"Tamanghasset, Algeria",H3.7,192 g,72,,"(27.516670, 3.833330)  "
