name,reclass,mass,fall,year,latitude,longitude,coordinates,,decade,address,ccode,country
el atchane 018 **,cv3,3.64 kg,,2020,30.11661,4.42542,"30.116610, 4.425420",,2010,"ouargla, algeria",DZ,Algeria
el atchane 019 **,cm2,50 g,,2020,29.72058,4.42528,"29.720580, 4.425280",,2010,"ouargla, algeria",DZ,Algeria
el blida 006 **,ll7,97 g,,2020,29.85916,-5.97737,"29.859160, -5.977370",,2010,morocco,MA,Morocco
el médano 459,h5,389 g,,2020,-24.6762,-70.2963,"-24.676200, -70.296300",,2010,"antofagasta, chile",CL,Chile
el médano 460,h5,299 g,,2020,-24.68467,-70.30567,"-24.684670, -70.305670",,2010,"antofagasta, chile",CL,Chile
el médano 461,l6,40 g,,2020,-24.67723,-70.30847,"-24.677230, -70.308470",,2010,"antofagasta, chile",CL,Chile
el médano 470,h5§,2.15 kg,,2020,-24.69986,-70.36042,"-24.699860, -70.360420",,2010,"antofagasta, chile",CL,Chile
el médano 495,l6,18 g,,2020,-24.85278,-70.52556,"-24.852780, -70.525560",,2010,"antofagasta, chile",CL,Chile
el médano 521 **,co3,710 g,,2020,-24.80261,-70.07272,"-24.802610, -70.072720",,2010,"antofagasta, chile",CL,Chile
erg atouila 001 **,achondrite-ung,793 g,,2020,22.48994,-4.55174,"22.489940, -4.551740",,2010,"gao, mali",ML,Mali
erg atouila 002 **,diogenite,5 kg,,2020,22.24364,-5.99417,"22.243640, -5.994170",,2010,"gao, mali",ML,Mali
erg chech 002 **,achondrite-ung,31.78 kg,,2020,26.032,-1.611,"26.032000, -1.611000",,2010,"adrar, algeria",DZ,Algeria
erg chech 007 **,"pallasite, pmg-an",8.33 kg,,2020,26.50709,-2.7354,"26.507090, -2.735400",,2010,"adrar, algeria",DZ,Algeria
errachidia 003 **,winonaite,247 g,,2020,32.0375,-4.06222,"32.037500, -4.062220",,2010,"centre-south, morocco",MA,Morocco
