name,reclass,mass,fall,year,latitude,longitude,coordinates,,decade,address,ccode,country
northwest africa 14068 **,el7,768 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 14069 **,cvox3,1647 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 14070 **,h4,880 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 14072 **,ureilite,538 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 14073 **,ck3,228 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 14074 **,ll3,470 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 14078 **,acapulcoite,25.1 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 14079 **,h4,370 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 14084 **,h5,4.42 kg,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 14089 **,eucrite,683 g,,2020,0,0,,,2010,algeria,N/A,Ocean/Unknown
northwest africa 14102 **,eucrite-br,40.3 g,,2020,0,0,,,2010,morocco,N/A,Ocean/Unknown
northwest africa 14119 **,ck4,2.51 kg,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 14133 **,h5,2.06 kg,,2020,0,0,,,2010,morocco,N/A,Ocean/Unknown
northwest africa 14142 **,eucrite-unbr,480 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 14145 **,ck4,170 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 14146 **,eucrite-mmict-an,399 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 14148 **,ck4,366 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 14165,l6,219 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 14171 **,l-melt rock,271 g,,2020,0,0,,,2010,niger,N/A,Ocean/Unknown
northwest africa 14172 **,ck5,230 g,,2020,0,0,,,2010,mali,N/A,Ocean/Unknown
northwest africa 14173 **,l4,458 g,,2020,0,0,,,2010,mali,N/A,Ocean/Unknown
northwest africa 14176 **,eucrite-an,310 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 14178 **,lunar (bas. breccia),440 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 14179 **,c3-ung,265 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 14184 **,l6,728 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 14186 **,ll4,390 g,,2020,0,0,,,2010,mali,N/A,Ocean/Unknown
northwest africa 14195 **,eucrite-pmict,773 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 14201 **,howardite,33 g,,2020,0,0,,,2010,algeria,N/A,Ocean/Unknown
northwest africa 14204 **,h5,300 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 14209 **,eucrite-br,399 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 14210 **,ck5,1200 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 14215 **,l5,1100 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 14239,l6,121 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 14240 **,h6,7.45 kg,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 14242 **,"iron, iab-ung",21 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 14245 **,eucrite,69.2 g,,2020,0,0,,,2010,morocco,N/A,Ocean/Unknown
northwest africa 14268 **,ll5,417 g,,2020,0,0,,,2010,algeria,N/A,Ocean/Unknown
northwest africa 14270 **,achondrite-ung,20 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 14273 **,achondrite-ung,1200 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 14275 **,h4,789 g,,2020,0,0,,,2010,algeria,N/A,Ocean/Unknown
northwest africa 14276 **,l3-5,250 g,,2020,0,0,,,2010,morocco,N/A,Ocean/Unknown
northwest africa 14277 **,l5,350 g,,2020,0,0,,,2010,morocco,N/A,Ocean/Unknown
northwest africa 14278 **,l5-melt breccia,4.4 kg,,2020,0,0,,,2010,morocco,N/A,Ocean/Unknown
northwest africa 14280 **,lunar (feldsp. breccia),26 g,,2020,0,0,,,2010,algeria,N/A,Ocean/Unknown
northwest africa 14283 **,"iron, iiab",650 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 14284 **,"iron, iab-slh",178 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 14285 **,"iron, iab-slh",383 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 14296 **,l4,230 g,,2020,0,0,,,2010,mali,N/A,Ocean/Unknown
northwest africa 14299,l6,1800 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 14300,l5,152 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 14301,h4,430 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 14307,l5,36.7 g,,2020,0,0,,,2010,morocco,N/A,Ocean/Unknown
northwest africa 14308,l5,323 g,,2020,0,0,,,2010,morocco,N/A,Ocean/Unknown
northwest africa 14309,l5,2.22 kg,,2020,0,0,,,2010,morocco,N/A,Ocean/Unknown
northwest africa 14310,l6,42.4 g,,2020,0,0,,,2010,morocco,N/A,Ocean/Unknown
northwest africa 14311,l5,400 g,,2020,0,0,,,2010,morocco,N/A,Ocean/Unknown
northwest africa 14317 **,co3,1450 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 14342 **,eucrite-cm,161 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 14343 **,ll6-melt breccia,652 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 14356 **,l5,31 g,,2020,0,0,,,2010,morocco,N/A,Ocean/Unknown
northwest africa 14357 **,l3,24 g,,2020,0,0,,,2010,morocco,N/A,Ocean/Unknown
northwest africa 14377 **,h4,112 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 14378 **,co3,1004 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 14381 **,eucrite-unbr,2.86 kg,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 14384 **,h4,290 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 14386 **,eucrite-melt breccia,1268 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 14387 **,ll3,902 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 14391 **,h3,1494 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 14411 **,winonaite,780 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 14412 **,ck5,340 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 14413,ll6,28 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 14414 **,howardite,1035 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 14415 **,lunar (feldsp. breccia),3.8 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 14416 **,l4,167 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 14417 **,cvoxb3,44.8 g,,2020,0,0,,,2010,mauritania,N/A,Ocean/Unknown
northwest africa 14418 **,eucrite,482 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 14457 **,l4/5-melt breccia,3.56 kg,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 14466 **,h5/6,1489 g,,2020,0,0,,,2010,niger,N/A,Ocean/Unknown
northwest africa 14467 **,h5/6,3.6 kg,,2020,0,0,,,2010,niger,N/A,Ocean/Unknown
northwest africa 14484 **,h5,57 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 14495 **,"iron, iva",289 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 14506 **,l5,1070 g,,2020,0,0,,,2010,"tijirit, mauritania",N/A,Ocean/Unknown
northwest africa 14507 **,l6,443 g,,2020,0,0,,,2010,"binishab, mauritania",N/A,Ocean/Unknown
northwest africa 14522 **,eucrite,5.5 kg,,2020,0,0,,,2010,morocco,N/A,Ocean/Unknown
northwest africa 14523 **,lunar (feldsp. breccia),2.8 kg,,2020,0,0,,,2010,morocco,N/A,Ocean/Unknown
northwest africa 14525,unknown,1500 g,,2020,0,0,,,2010,algeria,N/A,Ocean/Unknown
northwest africa 14527 **,lunar (feldsp. breccia),38 g,,2020,0,0,,,2010,morocco,N/A,Ocean/Unknown
northwest africa 14529 **,"iron, ungrouped",53.2 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 14555 **,l5,35 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 14556 **,h5,25 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 14557 **,l5,22 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 14571 **,mesosiderite-a4,36.8 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 14572 **,l-melt rock,10.7 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 14573 **,mesosiderite-a3,153.5 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 14590 **,l4/5,1330 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 14610 **,l5,2.3 kg,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 14622 **,cv3,2.15 kg,,2020,0,0,,,2010,mali,N/A,Ocean/Unknown
northwest africa 14629 **,h5,9.18 kg,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 14630 **,ck5,117 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 14665 **,h5,3.6 kg,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 14666 **,ureilite,1130 g,,2020,0,0,,,2010,mali,N/A,Ocean/Unknown
northwest africa 14682 **,eucrite-unbr,14 kg,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 14683 **,diogenite-olivine,5 kg,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 14684 **,mesosiderite-a3,3 kg,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 14685 **,lunar (frag. breccia),8 kg,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 14686 **,lunar (frag. breccia),12 kg,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 14687 **,lunar (frag. breccia),4.9 kg,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 14798 **,lunar (feldsp. breccia),356 g,,2020,0,0,,,2010,algeria,N/A,Ocean/Unknown
northwest africa 14801 **,diogenite-pm,43 g,,2020,0,0,,,2010,mauritania,N/A,Ocean/Unknown
northwest africa 14802 **,eucrite-br,122.1 g,,2020,0,0,,,2010,morocco,N/A,Ocean/Unknown
northwest africa 14913 **,l6,231 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 14914 **,ck3,1150 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 14923 **,h4,3 kg,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 14939 **,l5§,24.3 kg,,2020,0,0,,,2010,morocco,N/A,Ocean/Unknown
northwest africa 15034 **,l5,5.93 kg,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 15035 **,h3,3.12 kg,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 15115 **,"iron, iab complex",126 g,,2020,0,0,,,2010,morocco,N/A,Ocean/Unknown
northwest africa 15122 **,h4,1154 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 15124 **,h4,430 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 15128 **,h4,134 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 15159,l6§,1409 g,,2020,0,0,,,2010,mauritania,N/A,Ocean/Unknown
northwest africa 15177 **,cvox3,42.5 g,,2020,0,0,,,2010,mauritania,N/A,Ocean/Unknown
northwest africa 15206 **,h7,13 kg,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 15258 **,eucrite-br,1054 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 15321 **,eucrite-mmict,257 g,,2020,0,0,,,2010,algeria,N/A,Ocean/Unknown
northwest africa 15334 **,l5,8.35 kg,,2020,0,0,,,2010,algeria,N/A,Ocean/Unknown
northwest africa 15335 **,r3,1195 g,,2020,0,0,,,2010,algeria,N/A,Ocean/Unknown
northwest africa 15336 **,diogenite-pm,181.3 g,,2020,0,0,,,2010,algeria,N/A,Ocean/Unknown
northwest africa 15346 **,mesosiderite-b2,67.5 kg,,2020,0,0,,,2010,western sahara,N/A,Ocean/Unknown
northwest africa 15352 **,lunar (feldsp. breccia),4.13 kg,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 15374 **,lunar (melt breccia),1300 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 15423 **,eucrite-mmict,925 g,,2020,0,0,,,2010,algeria,N/A,Ocean/Unknown
northwest africa 15429 **,ll3,968 g,,2020,0,0,,,2010,algeria,N/A,Ocean/Unknown
northwest africa 15431 **,lunar (frag. breccia),35 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 15441 **,ll3,203 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 15487 **,winonaite-an,23 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 15493 **,ll3.05,425 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 15497 **,martian (shergottite),11.9 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 15592,h5,213 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 15641 **,ck5-6,3.36 kg,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 15646 **,eucrite-unbr,5.81 kg,,2020,0,0,,,2010,morocco,N/A,Ocean/Unknown
northwest africa 15750 **,r4,515 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 15766 **,ll6-melt breccia,287 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 15785 **,l4-melt breccia,632 g,,2020,0,0,,,2010,morocco,N/A,Ocean/Unknown
northwest africa 15819 **,co3,16.1 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 15855 **,cv3,1788 g,,2020,0,0,,,2010,"oued ed-dahab, western sahara",N/A,Ocean/Unknown
northwest africa 15856 **,eucrite-pmict,530 g,,2020,0,0,,,2010,"ouargla, algeria",N/A,Ocean/Unknown
northwest africa 15917 **,martian (shergottite),222 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 15932 **,eucrite-br,379 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 15942 **,eucrite-melt breccia,657 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 16004 **,eucrite-mmict,5 kg,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 16023 **,h5§,620 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 16042 **,r3-5,2.05 kg,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 16045 **,lodranite,1925 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 16090 **,ll3,525 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 16178 **,h3-5,90 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 16251 **,h5-melt breccia,3.95 kg,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 16261 **,co3,562 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 16297 **,h3,58 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 16332 **,h6,10 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 16349 **,lunar (bas/gab brec),50 g,,2020,0,0,,,2010,algeria,N/A,Ocean/Unknown
northwest africa 16368 **,ll3-6,51 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 16380,l6,208 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 16381,h5,135 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 16398 **,eucrite-melt breccia,2.07 kg,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 16417 **,ll6,18 kg,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 16427 **,h5,500 g,,2020,0,0,,,2010,morocco,N/A,Ocean/Unknown
northwest africa 16433 **,cv3,9.8 g,,2020,0,0,,,2010,morocco,N/A,Ocean/Unknown
northwest africa 16538 **,l6,762 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 16569 **,c3-ung,351 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 16666 **,l5,1700 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 16667 **,l-melt rock,231 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 16671 **,h3,122 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 16680 **,eucrite-mmict,3.35 kg,,2020,0,0,,,2010,niger,N/A,Ocean/Unknown
northwest africa 16681 **,diogenite,2.8 kg,,2020,0,0,,,2010,niger,N/A,Ocean/Unknown
northwest africa 16699 **,"iron, iiiab",4.06 kg,,2020,0,0,,,2010,algeria,N/A,Ocean/Unknown
northwest africa 16712 **,mesosiderite,880 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 16819 **,cv3,190.8 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 16821 **,cv3,900 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 16832 **,h3,60 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 16833,l6,37 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 16841 **,eucrite,392 g,,2020,0,0,,,2010,western sahara,N/A,Ocean/Unknown
northwest africa 16845 **,diogenite-olivine,422 g,,2020,0,0,,,2010,morocco,N/A,Ocean/Unknown
northwest africa 16880 **,mesosiderite,191 g,,2020,0,0,,,2010,niger,N/A,Ocean/Unknown
northwest africa 16892 **,eucrite-mmict,5 kg,,2020,0,0,,,2010,mali,N/A,Ocean/Unknown
northwest africa 17020 **,h3-6,4 kg,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 17283 **,ll4-5,1683 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
nova 066 **,l4,69.1 g,,2020,0,0,,,2010,(unknown),N/A,Ocean/Unknown
novo mesto **,l5,720 g,,2020,45.81683,15.1125,"45.816830, 15.112500",,2010,slovenia,SI,Slovenia
outer recovery icefields 19111 **,h5,18.9 g,,2020,-81.46982,-17.99737,"-81.469820, -17.997370",,2010,antarctica,GS,South Georgia and the South Sandwich Islands
outer recovery icefields 19109 **,h6,141.3 g,,2020,-81.47152,-17.98533,"-81.471520, -17.985330",,2010,antarctica,GS,South Georgia and the South Sandwich Islands
outer recovery icefields 19104 **,l6,286 g,,2020,-81.48963,-17.93978,"-81.489630, -17.939780",,2010,antarctica,GS,South Georgia and the South Sandwich Islands
outer recovery icefields 19137 **,h6,5.8 g,,2020,-81.56307,-17.5404,"-81.563070, -17.540400",,2010,antarctica,GS,South Georgia and the South Sandwich Islands
outer recovery icefields 19106 **,h6,2.93 g,,2020,-81.48822,-17.95985,"-81.488220, -17.959850",,2010,antarctica,GS,South Georgia and the South Sandwich Islands
outer recovery icefields 19135 **,ll6,39.6 g,,2020,-81.44588,-17.74465,"-81.445880, -17.744650",,2010,antarctica,GS,South Georgia and the South Sandwich Islands
outer recovery icefields 19128 **,h4,176.9 g,,2020,-81.57527,-17.4912,"-81.575270, -17.491200",,2010,antarctica,GS,South Georgia and the South Sandwich Islands
outer recovery icefields 19138 **,l6,26.6 g,,2020,-81.56067,-17.4913,"-81.560670, -17.491300",,2010,antarctica,GS,South Georgia and the South Sandwich Islands
outer recovery icefields 19124 **,co3,35 g,,2020,-81.51813,-17.86677,"-81.518130, -17.866770",,2010,antarctica,GS,South Georgia and the South Sandwich Islands
outer recovery icefields 19127 **,h5,6.1 g,,2020,-81.5725,-17.45218,"-81.572500, -17.452180",,2010,antarctica,GS,South Georgia and the South Sandwich Islands
outer recovery icefields 19132 **,l5,37.7 g,,2020,-81.5803,-17.44563,"-81.580300, -17.445630",,2010,antarctica,GS,South Georgia and the South Sandwich Islands
outer recovery icefields 19115 **,h5,60.1 g,,2020,-81.4162,-18.10728,"-81.416200, -18.107280",,2010,antarctica,GS,South Georgia and the South Sandwich Islands
outer recovery icefields 19113 **,h5,18.3 g,,2020,-81.48492,-17.99772,"-81.484920, -17.997720",,2010,antarctica,GS,South Georgia and the South Sandwich Islands
outer recovery icefields 19110 **,h6,32.5 g,,2020,-81.46982,-17.99512,"-81.469820, -17.995120",,2010,antarctica,GS,South Georgia and the South Sandwich Islands
outer recovery icefields 19117 **,h6,4.16 g,,2020,-81.48407,-17.96625,"-81.484070, -17.966250",,2010,antarctica,GS,South Georgia and the South Sandwich Islands
outer recovery icefields 19102 **,mesosiderite,132 g,,2020,-81.49715,-17.9514,"-81.497150, -17.951400",,2010,antarctica,GS,South Georgia and the South Sandwich Islands
outer recovery icefields 19130 **,h4,8.6 g,,2020,-81.57418,-17.45792,"-81.574180, -17.457920",,2010,antarctica,GS,South Georgia and the South Sandwich Islands
outer recovery icefields 19125 **,l5,0.14 g,,2020,-81.52042,-17.80792,"-81.520420, -17.807920",,2010,antarctica,GS,South Georgia and the South Sandwich Islands
outer recovery icefields 19133 **,l5,15.4 g,,2020,-81.58447,-17.47163,"-81.584470, -17.471630",,2010,antarctica,GS,South Georgia and the South Sandwich Islands
outer recovery icefields 19120 **,h6,236 g,,2020,-81.52772,-17.82887,"-81.527720, -17.828870",,2010,antarctica,GS,South Georgia and the South Sandwich Islands
outer recovery icefields 19139 **,cm2,65.4 g,,2020,-81.56035,-17.53185,"-81.560350, -17.531850",,2010,antarctica,GS,South Georgia and the South Sandwich Islands
outer recovery icefields 19118 **,l6,70.4 g,,2020,-81.48228,-17.94817,"-81.482280, -17.948170",,2010,antarctica,GS,South Georgia and the South Sandwich Islands
outer recovery icefields 19103 **,h6,28.3 g,,2020,-81.49205,-17.9531,"-81.492050, -17.953100",,2010,antarctica,GS,South Georgia and the South Sandwich Islands
outer recovery icefields 19126 **,h5,75.3 g,,2020,-81.5237,-17.83307,"-81.523700, -17.833070",,2010,antarctica,GS,South Georgia and the South Sandwich Islands
outer recovery icefields 19105 **,h6,1.45 g,,2020,-81.48955,-17.9586,"-81.489550, -17.958600",,2010,antarctica,GS,South Georgia and the South Sandwich Islands
outer recovery icefields 19131 **,ll6,941 g,,2020,-81.5791,-17.46682,"-81.579100, -17.466820",,2010,antarctica,GS,South Georgia and the South Sandwich Islands
outer recovery icefields 19119 **,h5,2.19 kg,,2020,-81.52565,-17.81722,"-81.525650, -17.817220",,2010,antarctica,GS,South Georgia and the South Sandwich Islands
outer recovery icefields 19107 **,h6,0.83 g,,2020,-81.48768,-17.96818,"-81.487680, -17.968180",,2010,antarctica,GS,South Georgia and the South Sandwich Islands
outer recovery icefields 19122 **,l6,25.3 g,,2020,-81.51688,-17.83627,"-81.516880, -17.836270",,2010,antarctica,GS,South Georgia and the South Sandwich Islands
outer recovery icefields 19136 **,h4,7.3 g,,2020,-81.56282,-17.53742,"-81.562820, -17.537420",,2010,antarctica,GS,South Georgia and the South Sandwich Islands
outer recovery icefields 19108 **,h5,23.9 g,,2020,-81.48145,-18.01988,"-81.481450, -18.019880",,2010,antarctica,GS,South Georgia and the South Sandwich Islands
outer recovery icefields 19129 **,h6,116.1 g,,2020,-81.57335,-17.44182,"-81.573350, -17.441820",,2010,antarctica,GS,South Georgia and the South Sandwich Islands
paposo 081,l6§,210 g,,2020,-24.95194,-70.04139,"-24.951940, -70.041390",,2010,"antofagasta, chile",CL,Chile
plateau du tademait 007 **,howardite,102 g,,2020,28.843,1.193,"28.843000, 1.193000",,2010,"adrar, algeria",DZ,Algeria
qara **,"iron, iiab",19.95 kg,,2020,2.06718,39.01693,"2.067180, 39.016930",,2010,"north-eastern, kenya",KE,Kenya
qatar 017,h5,30 kg,,2020,24.8685,51.05233,"24.868500, 51.052330",,2010,"jarayan al batnah, qatar",QA,Qatar
qued mya 002 **,cm2,127.4 g,,2020,30.14039,4.09344,"30.140390, 4.093440",,2010,"ouargla, algeria",DZ,Algeria
rabt sbayta 013 **,ll6,380 g,,2020,24.22611,-14.63528,"24.226110, -14.635280",,2010,"rio de oro, western sahara",EH,Western Sahara
ramlat fasad 573,unknown,59.7 g,,2020,19.17413,53.94692,"19.174130, 53.946920",,2010,oman,YE,Yemen
ramlat fasad 600 **,lunar (melt breccia),59.5 g,,2020,19.28538,53.86167,"19.285380, 53.861670",,2010,"zufar, oman",YE,Yemen
ramlat fasad 601 **,el3-6,16.54 kg,,2020,19.26167,53.92833,"19.261670, 53.928330",,2010,"zufar, oman",YE,Yemen
